"Date","CHINOOK","JACK","ALLCHINOOK","SCHUM","PINK","SOCKEYE","CISCO","BROAD","HUMPBACK","SHEEFISH","OTHER","ALLOTHER"
"06/05/2024",0,0,0,0,0,0,80822,904943,1115436,562072,0,2663273
"06/06/2024",0,0,0,18579,0,0,81142,444176,239009,779907,122195,1666429
"06/07/2024",0,0,0,444866,0,0,64621,400219,610019,1333505,384763,2793127
"06/08/2024",0,0,0,536036,0,0,74168,135763,0,1012791,374048,1596770
"06/09/2024",0,0,0,62528,0,0,615,209215,212518,408109,403686,1234143
"06/10/2024",0,0,0,83628,0,0,627,503750,285660,114630,314263,1218930
"06/11/2024",0,0,0,80742,0,0,142,484597,279363,182765,313423,1260290
"06/12/2024",5253,330913,336166,1490649,0,0,371135,893905,494161,97932,255611,2112744
"06/13/2024",20223,270245,290468,1208645,0,0,261899,709195,387938,84114,179394,1622540
"06/14/2024",944115,33930,978045,2033884,0,0,289949,61888,72404,2523096,536191,3483528
"06/15/2024",20046,56165,76211,754182,0,0,0,228490,972963,44214,397584,1643251
"06/16/2024",32700,92142,124842,2172766,0,0,1891396,152157,33979,275189,290738,2643459
"06/17/2024",70640,421227,491867,1764519,0,0,2481831,228945,550810,21417,0,3283003
"06/18/2024",118235,34107,152342,2770458,0,0,0,0,221002,3065638,0,3286640
"06/19/2024",173476,42624,216100,4057073,0,0,2302385,0,0,1101950,28574,3432909
"06/20/2024",395491,0,395491,4133550,0,0,339968,106373,97095,4554572,254467,5352475
"06/21/2024",384780,7901,392681,5694159,0,0,3106406,36007,0,12331278,51275,15524966
"06/22/2024",1218859,0,1218859,3011222,0,37275,0,951162,459205,122222,865927,2398516
"06/23/2024",1389793,0,1389793,2734394,0,103749,81392,2562074,593029,145993,384357,3766845
"06/24/2024",489414,48447,537861,8185293,0,0,0,0,101062,12614,733290,846966
"06/25/2024",31730383,15574,31745957,52597660,202728,0,0,3177110,20798,60317,10500,3268725
"06/26/2024",211441,58740,270181,22842834,1884350,0,1101488,0,903015,2220133,0,4224636
"06/27/2024",403733,408019,811752,24477023,28929,399384,9944757,0,0,47801,187457,10180015
"06/28/2024",387173,392532,779705,10385524,5014807,3134454,2140582,1318147,0,813889,7429,4280047
"06/29/2024",750516,0,750516,43289613,1556092,0,14778004,524673,1100285,620706,4093,17027761
"06/30/2024",126487,128370,254857,36848336,5549416,0,6904389,0,0,1317,0,6905706
"07/01/2024",409142,30170,439312,31658405,47484,0,19427832,0,0,6091,283571,19717494
"07/02/2024",7160678,2032829,9193507,9910390,1860368,0,30717819,0,0,1896980,3372,32618171
"07/03/2024",55699,371517,427216,97364238,242302,101179,90666711,0,0,147409,9532,90823652
"07/04/2024",199129,250939,450068,4874502,640705,0,585754,0,4350,49301,9557,648962
"07/05/2024",2513776,936516,3450292,29282342,347778,0,1837011,0,4168,678,8964,1850821
"07/06/2024",2206932,47252,2254184,21611253,80432,0,4260070,0,0,10174,1409,4271653
"07/07/2024",3097559,73222,3170781,39328288,3949633,1814692,7162509,0,0,13589,0,7176098
"07/08/2024",1953004,3092531,5045535,10855307,3517863,5289,11257838,0,0,1186,0,11259024
"07/09/2024",6671694,0,6671694,6930481,1951171,4578,14915254,0,0,10833784,0,25749038
"07/10/2024",226495,0,226495,8378871,2030871,111356,718128,0,313753,0,64,1031945
"07/11/2024",405516,51461,456977,9502656,37737025,0,11837344,0,501023,3184,4150,12345701
"07/12/2024",188,348133,348321,48371226,27270076,691615,0,1735955,1125,3778760,381756,5897596
"07/13/2024",112545,0,112545,4119399,732239,0,0,0,1296285,18655,0,1314940
"07/14/2024",0,357185,357185,5503180,5654913,433490,0,0,8961229,197905,118046,9277180
"Total Variance",63885115,9932691,73817806,559368701,100299182,6837061,239683988,15768744,19831684,49495867,6919686,331699969
"Std Error",7992.81646,3151.6172,8591.72892961597,23650.97675,10014.94793,2614.77743,15481.73078,3970.98779,4453.27789,7035.32991,2630.5296,18212.6321271803
