Year,Strata,Time_Frames,Strata_Start_Date,Strata_End_Date,Sample_Size,Strata_SeasonID,Strata_Season
1999,1,7/5-7/11,7/5/1999,7/11/1999,200,1,Summer
1999,2,7/12-7/18,7/12/1999,7/18/1999,200,1,Summer
1999,3,7/19-7/25,7/19/1999,7/25/1999,200,2,Fall
1999,4,7/26-8/1,7/26/1999,8/1/1999,141,2,Fall
1999,5,8/2-8/5,8/2/1999,8/5/1999,187,2,Fall
2000,1,7/5-7/11,7/5/2000,7/11/2000,200,1,Summer
2000,2,7/12-7/18,7/12/2000,7/18/2000,171,1,Summer
2000,3,7/19-7/25,7/19/2000,7/25/2000,138,2,Fall
2000,4,7/26-8/2,7/26/2000,8/2/2000,194,2,Fall
2001,1,6/29-7/4,6/29/2001,7/4/2001,197,1,Summer
2001,2,7/5-7/11,7/5/2001,7/11/2001,189,1,Summer
2001,3,7/12-7/18,7/12/2001,7/18/2001,101,1,Summer
2001,4,7/19-7/25,7/19/2001,7/25/2001,200,2,Fall
2001,5,7/26-8/1,7/26/2001,8/1/2001,200,2,Fall
2001,6,8/2-8/6,8/2/2001,8/6/2001,200,2,Fall
2002,1,6/27-7/4,6/27/2002,7/4/2002,202,1,Summer
2002,2,7/5-7/11,7/5/2002,7/11/2002,200,1,Summer
2002,3,7/12-7/18,7/12/2002,7/18/2002,202,1,Summer
2002,4,7/19-7/25,7/19/2002,7/25/2002,116,2,Fall
2002,5,7/26-8/1,7/26/2002,8/1/2002,200,2,Fall
2002,6,8/2-8/8,8/2/2002,8/8/2002,86,2,Fall
2004,1,7/19-8/2,7/19/2004,8/2/2004,200,2,Fall
2004,2,8/3-8/9,8/3/2004,8/9/2004,200,2,Fall
2004,3,8/10-8/15,8/10/2004,8/15/2004,200,2,Fall
2004,4,8/16-8/21,8/16/2004,8/21/2004,131,2,Fall
2004,5,8/22-8/26,8/22/2004,8/26/2004,200,2,Fall
2004,6,8/27-8/31,8/27/2004,8/31/2004,200,2,Fall
2005,1,7/1-7/9,7/1/2005,7/9/2005,200,1,Summer
2005,2,7/10-7/18,7/10/2005,7/18/2005,200,1,Summer
2005,3,7/19-7/24,7/19/2005,7/24/2005,200,2,Fall
2005,4,7/25-8/4,7/25/2005,8/4/2005,200,2,Fall
2005,5,8/5-8/13,8/5/2005,8/13/2005,200,2,Fall
2005,6,8/14-8/31,8/14/2005,8/31/2005,200,2,Fall
2006,1,7/1-7/8,7/1/2006,7/8/2006,200,1,Summer
2006,2,7/9-7/18,7/9/2006,7/18/2006,200,1,Summer
2006,3,7/19-7/22,7/19/2006,7/22/2006,200,2,Fall
2006,4,7/23-7/27,7/23/2006,7/27/2006,200,2,Fall
2006,5,7/28-8/5,7/28/2006,8/5/2006,200,2,Fall
2006,6,8/6-8/12,8/6/2006,8/12/2006,115,2,Fall
2006,7,8/13-8/16,8/13/2006,8/16/2006,200,2,Fall
