"Year","Strata","Report_Group","grpID","Mean","SD","95CIL","95CIU"
2012,1,"Total Summer",2,0.997,0.00358,0.987,1
2012,1,"Lower Summer",4,0.987,0.01941,0.931,1
2012,1,"Middle Summer",5,0.01,0.01911,0,0.067
2012,1,"UppKoy+Main",7,0.007,0.01751,0,0.062
2012,1,"Tanana Summer",8,0.003,0.00833,0,0.03
2012,1,"Total Fall",9,0.003,0.00358,0,0.013
2012,1,"Tanana Fall",10,0.001,0.00212,0,0.007
2012,1,"Border US",11,0.001,0.00181,0,0.006
2012,1,"Border CA",12,0.001,0.00153,0,0.005
2012,1,"Porcupine CA",13,0,0.00067,0,0.001
2012,1,"Mainstem CA",14,0.001,0.0014,0,0.004
2012,1,"Upper Canada",1,0.001,0.00172,0,0.005
2012,1,"White UC",3,0,0.00089,0,0.002
2012,1,"Teslin UC",6,0,0.00151,0,0.005
2012,1,"Fall US",15,0.002,0.00276,0,0.01
2012,1,"Mainstem+Upper CA",16,0.001,0.00218,0,0.007
2012,1,"Border US+Canada",17,0.002,0.00287,0,0.01
2012,1,"Total USA",18,0.999,0.00223,0.992,1
2012,1,"Total Canada",19,0.001,0.00226,0,0.008
2012,2,"Total Summer",2,0.995,0.00685,0.975,1
2012,2,"Lower Summer",4,0.909,0.06058,0.768,0.984
2012,2,"Middle Summer",5,0.085,0.06095,0.011,0.227
2012,2,"UppKoy+Main",7,0.062,0.06651,0,0.218
2012,2,"Tanana Summer",8,0.023,0.0181,0,0.064
2012,2,"Total Fall",9,0.005,0.00684,0,0.025
2012,2,"Tanana Fall",10,0.001,0.00304,0,0.01
2012,2,"Border US",11,0.001,0.00331,0,0.011
2012,2,"Border CA",12,0.002,0.00485,0,0.018
2012,2,"Porcupine CA",13,0,0.00076,0,0.002
2012,2,"Mainstem CA",14,0.002,0.0048,0,0.017
2012,2,"Upper Canada",1,0.001,0.00164,0,0.005
2012,2,"White UC",3,0,0.00087,0,0.002
2012,2,"Teslin UC",6,0,0.00141,0,0.004
2012,2,"Fall US",15,0.002,0.00448,0,0.015
2012,2,"Mainstem+Upper CA",16,0.003,0.00508,0,0.018
2012,2,"Border US+Canada",17,0.004,0.00606,0,0.021
2012,2,"Total USA",18,0.997,0.0051,0.981,1
2012,2,"Total Canada",19,0.003,0.00513,0,0.019
2012,3,"Total Summer",2,0.987,0.01097,0.959,1
2012,3,"Lower Summer",4,0.969,0.02487,0.898,0.997
2012,3,"Middle Summer",5,0.018,0.02433,0,0.092
2012,3,"UppKoy+Main",7,0.012,0.023,0,0.086
2012,3,"Tanana Summer",8,0.006,0.01035,0,0.036
2012,3,"Total Fall",9,0.013,0.01097,0,0.041
2012,3,"Tanana Fall",10,0.002,0.00424,0,0.015
2012,3,"Border US",11,0.004,0.00829,0,0.031
2012,3,"Border CA",12,0.003,0.00459,0,0.017
2012,3,"Porcupine CA",13,0,0.00196,0,0.005
2012,3,"Mainstem CA",14,0.002,0.00425,0,0.015
2012,3,"Upper Canada",1,0.005,0.00603,0,0.021
2012,3,"White UC",3,0.004,0.00601,0,0.021
2012,3,"Teslin UC",6,0,0.00076,0,0.001
2012,3,"Fall US",15,0.006,0.00918,0,0.034
2012,3,"Mainstem+Upper CA",16,0.006,0.00689,0,0.024
2012,3,"Border US+Canada",17,0.011,0.01026,0,0.038
2012,3,"Total USA",18,0.993,0.00704,0.975,1
2012,3,"Total Canada",19,0.007,0.00706,0,0.025
2012,4,"Total Summer",2,0.996,0.00605,0.978,1
2012,4,"Lower Summer",4,0.822,0.05915,0.687,0.914
2012,4,"Middle Summer",5,0.174,0.05927,0.082,0.311
2012,4,"UppKoy+Main",7,0.161,0.06383,0.059,0.304
2012,4,"Tanana Summer",8,0.012,0.02022,0,0.068
2012,4,"Total Fall",9,0.004,0.00604,0,0.021
2012,4,"Tanana Fall",10,0.002,0.00345,0,0.012
2012,4,"Border US",11,0.002,0.00403,0,0.013
2012,4,"Border CA",12,0.001,0.00262,0,0.009
2012,4,"Porcupine CA",13,0,0.00137,0,0.003
2012,4,"Mainstem CA",14,0.001,0.00227,0,0.007
2012,4,"Upper Canada",1,0.001,0.00134,0,0.004
