Year,Strata,Report_Group,grpID,Mean,SD,95CIL,95CIU
2021,1,Total Summer,2,0.99342,0.00941,0.966,1
2021,1,Lower Summer,4,0.85664,0.08187,0.667,0.978
2021,1,Middle Summer,5,0.1362,0.08215,0.005,0.328
2021,1,UppKoy+Main,7,0.13515,0.08219,0.004,0.328
2021,1,Tanana Summer,8,0.00104,0.00408,0,0.011
2021,1,Total Fall,9,0.00658,0.00941,0,0.034
2021,1,Tanana Fall,10,0.00195,0.00461,0,0.015
2021,1,Border US,11,0.00204,0.00538,0,0.01802
2021,1,Border CA,12,0.00247,0.0058,0,0.02
2021,1,Porcupine CA,13,0.00026,0.00122,0,0.002
2021,1,Mainstem CA,14,0.00227,0.00567,0,0.02
2021,1,Upper Canada,1,0.00061,0.00167,0,0.005
2021,1,White UC,3,0.00043,0.00141,0,0.004
2021,1,Teslin UC,6,0.00021,0.00096,0,0.002
2021,1,Fall US,15,0.00381,0.00721,0,0.025
2021,1,Mainstem+Upper CA,16,0.00274,0.00591,0,0.021
2021,1,Border US+Canada,17,0.00479,0.00811,0,0.028
2021,1,Total USA,18,0.99707,0.00601,0.978,1
2021,1,Total Canada,19,0.00293,0.00603,0,0.022
2021,2,Total Summer,2,0.99103,0.01032,0.964,1
2021,2,Lower Summer,4,0.75135,0.08135,0.605,0.911
2021,2,Middle Summer,5,0.23927,0.08148,0.08,0.388
2021,2,UppKoy+Main,7,0.20107,0.08649,0.028,0.36
2021,2,Tanana Summer,8,0.03805,0.03702,0,0.117
2021,2,Total Fall,9,0.00897,0.01032,0,0.036
2021,2,Tanana Fall,10,0.00171,0.00388,0,0.013
2021,2,Border US,11,0.00219,0.00546,0,0.019
2021,2,Border CA,12,0.00499,0.00808,0,0.029
2021,2,Porcupine CA,13,0.00072,0.00287,0,0.009
2021,2,Mainstem CA,14,0.00433,0.00773,0,0.028
2021,2,Upper Canada,1,0.00054,0.00154,0,0.004
2021,2,White UC,3,0.00036,0.00114,0,0.003
2021,2,Teslin UC,6,0.00022,0.00108,0,0.002
2021,2,Fall US,15,0.00373,0.00666,0,0.024
2021,2,Mainstem+Upper CA,16,0.00474,0.00788,0,0.028
2021,2,Border US+Canada,17,0.00742,0.00969,0,0.033
2021,2,Total USA,18,0.99461,0.00822,0.971,1
2021,2,Total Canada,19,0.00539,0.00825,0,0.029
2021,3,Total Summer,2,0.91584,0.03981,0.825,0.98
2021,3,Lower Summer,4,0.61627,0.07281,0.46,0.741
2021,3,Middle Summer,5,0.29953,0.07616,0.164,0.46002
2021,3,UppKoy+Main,7,0.12245,0.09579,0,0.334
2021,3,Tanana Summer,8,0.17705,0.0774,0,0.318
2021,3,Total Fall,9,0.08416,0.03982,0.02,0.175
2021,3,Tanana Fall,10,0.01527,0.01561,0,0.056
2021,3,Border US,11,0.03061,0.03878,0,0.128
2021,3,Border CA,12,0.02752,0.03028,0,0.103
2021,3,Porcupine CA,13,0.00084,0.0042,0,0.01
2021,3,Mainstem CA,14,0.02675,0.03023,0,0.102
2021,3,Upper Canada,1,0.0107,0.01077,0,0.039
2021,3,White UC,3,0.01019,0.01037,0,0.038
2021,3,Teslin UC,6,0.00057,0.00278,0,0.006
2021,3,Fall US,15,0.04585,0.04093,0.001,0.145
2021,3,Mainstem+Upper CA,16,0.03744,0.03109,0.001,0.113
2021,3,Border US+Canada,17,0.06882,0.03779,0.01098,0.155
2021,3,Total USA,18,0.96178,0.03114,0.887,0.999
2021,3,Total Canada,19,0.03822,0.03113,0.001,0.113
2021,4,Total Summer,2,0.28148,0.05738,0.176,0.39902
2021,4,Lower Summer,4,0.11197,0.06454,0.001,0.25
2021,4,Middle Summer,5,0.16944,0.08348,0.006,0.337
2021,4,UppKoy+Main,7,0.15819,0.08537,0.001,0.33002
2021,4,Tanana Summer,8,0.01134,0.0239,0,0.087
2021,4,Total Fall,9,0.71852,0.05738,0.601,0.824
2021,4,Tanana Fall,10,0.14658,0.04945,0.058,0.252
2021,4,Border US,11,0.44036,0.08276,0.27198,0.596
2021,4,Border CA,12,0.07179,0.07319,0,0.24
2021,4,Porcupine CA,13,0.01062,0.02924,0,0.109
2021,4,Mainstem CA,14,0.06124,0.0694,0,0.224
2021,4,Upper Canada,1,0.05972,0.03324,0.004,0.134
2021,4,White UC,3,0.0416,0.02625,0,0.102
2021,4,Teslin UC,6,0.01811,0.01964,0,0.067
2021,4,Fall US,15,0.58688,0.08352,0.413,0.734
2021,4,Mainstem+Upper CA,16,0.12095,0.06717,0.024,0.274
2021,4,Border US+Canada,17,0.57188,0.06281,0.448,0.693
2021,4,Total USA,18,0.86846,0.07082,0.709,0.97302
2021,4,Total Canada,19,0.13154,0.07082,0.026,0.29
2021,5,Total Summer,2,0.06618,0.02292,0.028,0.119
2021,5,Lower Summer,4,0.04958,0.01886,0.018,0.091
2021,5,Middle Summer,5,0.01657,0.01944,0,0.067
2021,5,UppKoy+Main,7,0.01288,0.01847,0,0.06402
2021,5,Tanana Summer,8,0.00381,0.00893,0,0.033
2021,5,Total Fall,9,0.93382,0.02292,0.881,0.971
2021,5,Tanana Fall,10,0.32297,0.04198,0.244,0.407
2021,5,Border US,11,0.47342,0.06078,0.353,0.592
2021,5,Border CA,12,0.08481,0.0508,0,0.192
2021,5,Porcupine CA,13,0.00525,0.01675,0,0.062
2021,5,Mainstem CA,14,0.07962,0.05224,0,0.18702
2021,5,Upper Canada,1,0.05241,0.01681,0.024,0.089
2021,5,White UC,3,0.05219,0.01674,0.024,0.089
2021,5,Teslin UC,6,0.00028,0.00132,0,0.002
2021,5,Fall US,15,0.79641,0.05511,0.683,0.897
2021,5,Mainstem+Upper CA,16,0.13208,0.05375,0.039,0.243
2021,5,Border US+Canada,17,0.61078,0.04349,0.524,0.694
2021,5,Total USA,18,0.86271,0.05234,0.754,0.957
2021,5,Total Canada,19,0.13729,0.05234,0.043,0.246
2021,6,Total Summer,2,0.02747,0.01879,0.002,0.07102
2021,6,Lower Summer,4,0.00555,0.00596,0,0.022
2021,6,Middle Summer,5,0.0219,0.01811,0,0.065
2021,6,UppKoy+Main,7,0.00686,0.01191,0,0.043
2021,6,Tanana Summer,8,0.01511,0.01502,0,0.052
2021,6,Total Fall,9,0.97253,0.01879,0.928,0.998
2021,6,Tanana Fall,10,0.6208,0.0388,0.544,0.696
2021,6,Border US,11,0.19144,0.04042,0.115,0.275
2021,6,Border CA,12,0.10657,0.03356,0.047,0.177
2021,6,Porcupine CA,13,0.00234,0.00739,0,0.02702
2021,6,Mainstem CA,14,0.10428,0.03292,0.045,0.173
2021,6,Upper Canada,1,0.05356,0.01576,0.027,0.088
2021,6,White UC,3,0.05322,0.0157,0.027,0.088
2021,6,Teslin UC,6,0.0004,0.00181,0,0.004
2021,6,Fall US,15,0.81223,0.03992,0.73,0.887
2021,6,Mainstem+Upper CA,16,0.15791,0.03501,0.093,0.231
2021,6,Border US+Canada,17,0.35173,0.03934,0.276,0.43
2021,6,Total USA,18,0.83979,0.03553,0.76598,0.905
2021,6,Total Canada,19,0.16021,0.03553,0.095,0.234
