day,zone,species,day_est,day_var
06/11/01,1,CHINOOK,399,84894.982186
06/11/01,2,CHINOOK,618,970538.29869
06/11/01,2,CISCO,521,381343.99383
06/11/01,1,HUMPBACK,541,156897.31427
06/11/01,1,SHEEFISH,1362,534281.01427
06/11/01,2,SHEEFISH,1357,4284005.6601
06/12/01,1,CHINOOK,230,142536.49603
06/12/01,2,CHINOOK,924,2665351.7205
06/12/01,1,CISCO,686,243311.05691
06/12/01,1,HUMPBACK,177,40610.385502
06/12/01,2,JACK,325,-645217.4628
06/12/01,1,OTHER,148,51727.925604
06/12/01,1,SHEEFISH,860,13581.624757
06/12/01,2,SHEEFISH,1007,2031112.9713
06/13/01,1,CHINOOK,980,92524.750954
06/13/01,2,CHINOOK,1573,11006305.218
06/13/01,2,JACK,153,-14623.3626
06/13/01,1,OTHER,159,53555.882843
06/13/01,2,SCHUM,170,55819.491372
06/13/01,1,SHEEFISH,625,6424.7676646
06/14/01,1,CHINOOK,1298,100367.82712
06/14/01,2,CHINOOK,1077,5180463.8141
06/14/01,2,HUMPBACK,390,406752.09243
06/14/01,2,JACK,143,-233066.3646
06/14/01,2,SCHUM,190,-376534.3075
06/14/01,1,SHEEFISH,358,98935.346116
06/15/01,1,CHINOOK,463,137440.07668
06/15/01,2,CHINOOK,959,176749.41861
06/15/01,3,CHINOOK,320,322612.02392
06/15/01,1,CISCO,424,316371.17818
06/15/01,1,JACK,114,8904.3839648
06/15/01,2,JACK,233,13168.607273
06/15/01,1,SCHUM,583,114566.75202
06/15/01,2,SCHUM,256,56976.038441
06/15/01,1,SHEEFISH,189,237845.54881
06/15/01,2,SHEEFISH,66,10060.977771
06/16/01,1,CHINOOK,932,276586.67119
06/16/01,2,CHINOOK,1100,202665.24257
06/16/01,3,CHINOOK,1280,1291652.4257
06/16/01,1,CISCO,854,636670.56324
06/16/01,1,JACK,230,17919.328767
06/16/01,2,JACK,267,15099.449877
06/16/01,1,SCHUM,1173,230556.01637
06/16/01,2,SCHUM,293,65330.130881
06/16/01,1,SHEEFISH,380,478644.29496
06/16/01,2,SHEEFISH,76,11536.165247
06/17/01,1,BROAD,130,21544.50607
06/17/01,1,CHINOOK,608,174525.76489
06/17/01,2,CHINOOK,2689,2706015.4951
06/17/01,3,CHINOOK,133,59210.330911
06/17/01,1,CISCO,125,18082.735772
06/17/01,1,JACK,69,4524.4689807
06/17/01,1,OTHER,60,9928.6170087
06/17/01,1,SCHUM,4512,1168377.3982
06/17/01,2,SCHUM,3388,2938698.2003
06/17/01,3,SCHUM,580,61705.524763
06/17/01,1,SHEEFISH,200,36777.578856
06/17/01,2,SHEEFISH,91,13849.24751
06/18/01,1,BROAD,185,30663.190315
06/18/01,1,CHINOOK,866,248393.56847
06/18/01,2,CHINOOK,3819,3843173.7576
06/18/01,3,CHINOOK,264,116939.48147
06/18/01,1,CISCO,177,25736.230229
06/18/01,1,JACK,99,6439.4446072
06/18/01,1,OTHER,85,14130.891277
06/18/01,1,SCHUM,6422,1662891.6162
06/18/01,2,SCHUM,4812,4173637.5218
06/18/01,3,SCHUM,1145,121867.45047
06/18/01,1,SHEEFISH,285,52343.641396
06/18/01,2,SHEEFISH,129,19669.164751
06/19/01,1,CHINOOK,832,169594.11536
06/19/01,2,CHINOOK,2663,1243909.3453
06/19/01,3,CHINOOK,351,193847.82204
06/19/01,1,CISCO,427,201380.42058
06/19/01,1,HUMPBACK,256,37102.031234
06/19/01,1,JACK,269,46318.303293
06/19/01,2,JACK,153,19729.899919
06/19/01,1,OTHER,129,26590.265658
06/19/01,1,SCHUM,8788,804105.70685
06/19/01,2,SCHUM,8872,9812455.5968
06/19/01,3,SCHUM,1155,377328.37419
06/19/01,1,SHEEFISH,124,41533.638887
06/19/01,3,SHEEFISH,74,3506.256588
06/20/01,1,CHINOOK,944,31758.975948
06/20/01,2,CHINOOK,3115,768358.53493
06/20/01,3,CHINOOK,861,371572.55099
06/20/01,1,CISCO,512,445114.99059
06/20/01,2,CISCO,232,36666.323078
06/20/01,1,JACK,1568,449106.77104
06/20/01,1,SCHUM,11369,2383000.9577
06/20/01,2,SCHUM,12180,9871600.7726
06/21/01,3, ,.,.
06/21/01,1,CHINOOK,1359,45386.378951
06/21/01,2,CHINOOK,997,145051.02728
06/21/01,1,CISCO,846,816289.44596
06/21/01,2,JACK,171,19307.738115
06/21/01,1,OTHER,631,297239.43975
06/21/01,1,SCHUM,7984,1801762.444
06/21/01,2,SCHUM,10521,12963707.84
06/22/01,1,CHINOOK,402,13829.393237
06/22/01,2,CHINOOK,563,33061.842904
06/22/01,3,CHINOOK,368,74084.530964
06/22/01,1,CISCO,283,215669.26084
06/22/01,1,HUMPBACK,220,53280.306377
06/22/01,1,JACK,193,16395.320054
06/22/01,2,JACK,95,10627.530157
06/22/01,3,JACK,238,34002.432304
06/22/01,1,SCHUM,5829,891604.15917
06/22/01,2,SCHUM,4082,796336.18685
06/22/01,3,SCHUM,1640,77738.333089
06/23/01,1,CHINOOK,1369,16313.631098
06/23/01,2,CHINOOK,1303,639583.01877
