Date,CHINOOK,JACK,SCHUM,FCHUM,COHO,PINK,CISCO,BROAD,HUMPBACK,SHEEFISH,OTHER
5/28/2004,,,430,,,,355,,,688,315
5/29/2004,328,,2976,,,,45,,127,1358,
5/30/2004,357,,3696,,,,260,,145,141,86
5/31/2004,378,,2037,,,,667,,,55,140
6/1/2004,113,78,2738,,,,185,,60,260,38
6/2/2004,168,20,2861,,,,286,,,316,
6/3/2004,282,38,2719,,,,339,,40,274,
6/4/2004,294,37,1953,,,,560,159,151,181,291
6/5/2004,1746,210,2092,,,,,,,277,146
6/6/2004,650,110,3710,,,,,,,250,141
6/7/2004,380,206,1868,,,,246,,184,253,
6/8/2004,858,191,1506,,,,84,,59,163,
6/9/2004,744,456,3497,,,,336,,173,241,
6/10/2004,1441,497,3005,,,,1157,,,300,
6/11/2004,1932,173,12487,,,,122,,,299,
6/12/2004,1477,1067,19388,,,,,,,205,31
6/13/2004,1479,775,7586,,,,3323,,401,,
6/14/2004,2821,899,7605,,,,702,,104,160,401
6/15/2004,6961,2451,18214,,,,1768,,217,426,840
6/16/2004,5871,6269,55153,,,,913,183,,,
6/17/2004,7584,2741,53297,,,,345,,135,665,109
6/18/2004,4996,1954,31760,,,,2423,267,414,507,223
6/19/2004,3830,2170,15599,,,,186,,413,216,
6/20/2004,3483,1421,13617,,,,211,,393,111,
6/21/2004,2222,752,11356,,,237,4039,,,149,158
6/22/2004,12801,4525,55267,,,,244,,,422,
6/23/2004,7644,3493,80944,,,230,1590,,596,,
6/24/2004,6150,5699,48186,,,,967,,338,419,255
6/25/2004,5798,2634,69313,,,297,1373,,,237,
6/26/2004,5998,2327,84267,,,2081,4099,125,154,100,
6/27/2004,5895,2611,80290,,,2294,3457,157,195,126,
6/28/2004,4303,1613,75344,,,2387,367,,,489,707
6/29/2004,3589,2937,55005,,,2249,2194,,,,
6/30/2004,1103,3228,32939,,,1416,490,,483,699,588
7/1/2004,3463,822,36944,,,5791,487,,1340,305,395
7/2/2004,4436,885,39853,,,4666,466,569,730,,849
7/3/2004,1268,1410,49528,,,6524,,,429,224,422
7/4/2004,4278,489,23765,,,7756,457,,142,118,322
7/5/2004,2413,707,20545,,,15032,480,659,1246,962,571
7/6/2004,1758,932,26388,,,8360,790,,942,349,
7/7/2004,3075,222,42918,,,6299,783,115,664,444,96
7/8/2004,394,80,44987,,,17197,365,,1232,,533
7/9/2004,2634,256,53156,,,11513,1508,,320,111,694
7/10/2004,1311,687,45813,,,12306,1771,,739,267,238
7/11/2004,754,312,20415,,,15965,1373,98,4271,78,82
7/12/2004,678,833,12408,,,12657,1887,,2606,319,
7/13/2004,259,941,7039,,,21290,1953,104,3398,,622
7/14/2004,432,276,20603,,,17737,5794,129,3462,202,1262
7/15/2004,1015,145,12455,,,18093,3448,177,2504,,740
7/16/2004,561,175,10261,,,16105,8182,230,6355,,228
7/17/2004,,836,10132,,,19760,514,,6904,90,342
7/18/2004,259,101,4298,,,23989,5228,1112,3482,83,564
7/19/2004,623,97,,1138,,22375,5481,333,1847,538,125
7/20/2004,,,,1937,,17764,8714,,6521,,891
7/21/2004,306,,,11269,,18927,6515,,2165,,
7/22/2004,409,476,,29613,,7911,6985,,4457,121,367
7/23/2004,,,,17733,,11182,3953,1487,2035,,779
7/24/2004,649,33,,7494,235,5565,6791,809,2764,269,905
7/25/2004,1649,,,3391,,10283,3545,660,2354,661,87
7/26/2004,94,22,,2775,,6751,5184,29,2801,93,1339
7/27/2004,,,,3794,,8333,2268,1846,5464,,2210
7/28/2004,,,,2870,,4544,5037,455,5144,,686
7/29/2004,1172,125,,4484,108,6214,1725,306,2636,,761
7/30/2004,154,,,1649,248,5586,4341,560,1906,186,1342
7/31/2004,,,,2290,85,4261,5005,,3115,760,136
8/1/2004,437,,,2141,,1428,4692,1596,2450,370,1693
8/2/2004,,,,5514,298,,1213,1234,3608,389,182
8/3/2004,,,,36211,83,1888,2337,,882,,
8/4/2004,160,,,69053,,597,236,,,,73
8/5/2004,,,,21667,1670,3766,2188,,404,,331
8/6/2004,,,,9553,3287,1311,1390,299,1178,,279
8/7/2004,,,,5148,2845,1409,2610,407,1327,,261
8/8/2004,,,,4568,3753,1611,2001,727,369,,
8/9/2004,,,,3304,2348,589,2172,87,1176,106,424
8/10/2004,,,,43012,2204,2031,2052,,2191,,63
8/11/2004,,,,51814,6116,1594,619,,729,,
8/12/2004,,,,21431,7388,123,5646,354,107,,161
8/13/2004,,,,6512,10292,,1593,,829,,
8/14/2004,,,,2707,5628,87,3158,48,2214,,1160
8/15/2004,,,,2942,5958,,2841,,941,50,421
8/16/2004,,,,10134,5349,,,,1909,105,1258
8/17/2004,,,,12850,4994,717,2209,106,4790,325,
8/18/2004,,,,8475,9935,,360,43,,71,398
8/19/2004,,,,2504,8337,56,2860,33,1510,92,333
8/20/2004,,,,1913,7477,,1055,325,3287,122,50
8/21/2004,,,,151,8486,51,3429,646,2083,27,543
8/22/2004,,,,30513,5242,,655,,444,,
8/23/2004,,,,31369,11160,,2235,1326,769,,1478
8/24/2004,,,,6458,21873,,1796,146,147,85,
8/25/2004,,,,6979,11768,,133,,82,81,533
8/26/2004,,,,6330,6812,,4094,116,814,,191
8/27/2004,,,,12040,9216,,2635,,86,,447
8/28/2004,,,,23246,8124,,,,3421,,
8/29/2004,,,,67799,9461,154,167,,142,,
8/30/2004,,,,34279,14462,,237,,634,,
8/31/2004,,,,2314,12602,,4395,,812,,88
