Date,CHINOOK,JACK,ALLCHINOOK,SCHUM,FCHUM,COHO,PINK,CISCO,BROAD,HUMPBACK,SHEEFISH,OTHER,ALLOTHER,TOTAL
6/1/2012,0,0,0,0,,0,0,2191,68,101,2936,0,5296,5296
6/2/2012,0,0,0,0,,0,0,1793,31,46,2309,0,4179,4179
6/3/2012,0,0,0,0,,0,0,2434,0,0,1391,95,3920,3920
6/4/2012,0,0,0,0,,0,0,753,0,0,2360,0,3113,3113
6/5/2012,0,0,0,0,,0,0,2040,0,0,1518,77,3635,3635
6/6/2012,0,0,0,0,,0,0,2249,0,0,1054,83,3386,3386
6/7/2012,0,0,0,0,,0,0,1747,0,0,855,72,2674,2674
6/8/2012,0,0,0,0,,0,0,1366,0,0,642,76,2084,2084
6/9/2012,0,0,0,0,,0,0,1557,0,0,725,78,2360,2360
6/10/2012,70,0,70,0,,0,0,1353,0,0,694,99,2146,2216
6/11/2012,100,0,100,0,,0,0,1195,0,0,592,768,2555,2655
6/12/2012,0,0,0,911,,0,0,81,0,0,483,989,1553,2464
6/13/2012,474,0,474,1895,,0,0,104,0,0,614,0,718,3087
6/14/2012,154,0,154,1397,,0,0,125,407,0,802,0,1334,2885
6/15/2012,39,0,39,1036,,0,0,0,282,0,1034,0,1316,2391
6/16/2012,1871,78,1949,10825,,0,0,0,0,0,446,52,498,13272
6/17/2012,914,494,1408,45295,,0,0,0,384,0,297,0,681,47384
6/18/2012,723,179,902,42791,,0,0,630,0,0,330,0,960,44653
6/19/2012,1082,432,1514,56471,,0,0,232,262,266,795,486,2041,60026
6/20/2012,2139,742,2881,73920,,0,0,1655,0,0,349,0,2004,78805
6/21/2012,2294,277,2571,71724,,0,378,800,0,0,1068,0,1868,76541
6/22/2012,2260,1280,3540,99523,,0,0,0,0,0,339,0,339,103402
6/23/2012,6787,876,7663,113552,,0,0,0,0,0,740,359,1099,122314
6/24/2012,7679,1054,8733,98203,,0,0,0,0,0,1136,0,1136,108072
6/25/2012,3211,1798,5009,74775,,0,2057,0,0,0,1442,0,1442,83283
6/26/2012,8169,2690,10859,70742,,0,1257,833,736,0,1088,0,2657,85515
6/27/2012,7584,1619,9203,92873,,0,2476,0,0,0,219,438,657,105209
6/28/2012,16288,1758,18046,151906,,0,4436,0,0,0,0,0,0,174388
6/29/2012,5542,2087,7629,152437,,0,4911,2311,0,0,236,0,2547,167524
6/30/2012,4510,0,4510,106651,,0,3701,388,0,0,274,0,662,115524
7/1/2012,1899,446,2345,90443,,0,4783,2242,0,0,0,0,2242,99813
7/2/2012,4789,1258,6047,70866,,0,6411,686,0,0,0,0,686,84010
7/3/2012,1930,521,2451,59364,,0,28466,560,0,0,193,0,753,91034
7/4/2012,1531,481,2012,49830,,0,9881,0,0,0,580,469,1049,62772
7/5/2012,1837,0,1837,60730,,0,28972,722,242,292,211,1161,2628,94167
7/6/2012,6228,1042,7270,124537,,0,13187,510,0,482,166,0,1158,146152
7/7/2012,2501,217,2718,69896,,0,35182,4647,282,329,364,0,5622,113418
7/8/2012,2276,0,2276,44583,,0,16563,2218,429,0,217,187,3051,66473
7/9/2012,581,727,1308,52659,,0,7167,4436,0,349,238,0,5023,66157
7/10/2012,3302,0,3302,50930,,0,10696,2197,0,254,295,266,3012,67940
7/11/2012,265,0,265,62718,,0,21572,2626,0,663,0,462,3751,88306
7/12/2012,1049,0,1049,45793,,0,9727,1662,0,0,393,0,2055,58624
7/13/2012,1062,0,1062,26515,,0,12380,2648,0,167,0,0,2815,42772
7/14/2012,1234,104,1338,16764,,0,12519,4753,0,0,106,180,5039,35660
7/15/2012,980,89,1069,13319,,0,10110,3813,0,0,91,155,4059,28557
