Date,CHINOOK,JACK,ALLCHINOOK,SCHUM,FCHUM,COHO,PINK,SOCKEYE,CISCO,BROAD,HUMPBACK,SHEEFISH,OTHER,ALLOTHER
6/1/2022,0,0,0,0,0,0,0,0,1227,968,0,324,174,2693
6/2/2022,0,0,0,0,0,0,0,0,2668,1957,0,457,303,5385
6/3/2022,0,0,0,0,0,0,0,0,2288,1692,0,414,267,4661
6/4/2022,0,0,0,0,0,0,0,0,2617,232,0,899,68,3816
6/5/2022,0,0,0,0,0,0,0,0,1066,215,0,433,63,1777
6/6/2022,0,92,92,0,0,0,0,0,1202,219,0,393,58,1872
6/7/2022,174,43,217,0,0,0,0,0,608,102,319,199,27,1255
6/8/2022,232,88,320,0,0,0,0,0,933,211,425,317,56,1942
6/9/2022,227,83,310,1,0,0,0,0,893,197,414,302,52,1858
6/10/2022,336,107,443,0,0,0,0,0,695,302,642,413,0,2052
6/11/2022,325,100,425,1,0,0,0,0,668,281,603,404,0,1956
6/12/2022,226,87,313,327,0,0,0,0,523,283,269,766,37,1878
6/13/2022,212,66,278,290,0,0,0,0,394,238,304,680,42,1658
6/14/2022,815,0,815,1072,0,0,0,0,0,215,171,570,0,956
6/15/2022,991,0,991,1296,0,0,0,0,0,229,215,630,0,1074
6/16/2022,610,155,765,1226,0,0,0,0,0,291,4,639,0,934
6/17/2022,657,229,886,1586,0,0,0,0,711,228,0,400,73,1412
6/18/2022,879,524,1403,1604,0,0,0,0,961,468,0,657,68,2154
6/19/2022,446,312,758,2549,0,0,0,0,612,154,0,613,50,1429
6/20/2022,598,247,845,1815,0,0,0,0,1599,0,0,388,76,2063
6/21/2022,494,310,804,1436,0,0,0,0,1088,0,503,375,90,2056
6/22/2022,594,232,826,708,0,0,0,0,723,0,377,579,151,1830
6/23/2022,966,300,1266,349,0,0,0,0,1772,0,0,756,168,2696
6/24/2022,1593,286,1879,5962,0,0,0,0,40,0,86,1017,0,1143
6/25/2022,2119,852,2971,35735,0,0,0,0,919,0,0,604,0,1523
6/26/2022,2087,2563,4650,48685,0,0,0,0,781,0,0,197,0,978
6/27/2022,635,1082,1717,29621,0,0,0,0,3874,0,1455,462,0,5791
6/28/2022,2819,1003,3822,18884,0,0,378,102,1147,0,972,1130,0,3249
6/29/2022,1634,620,2254,15473,0,0,768,192,4593,0,855,618,0,6066
6/30/2022,2589,0,2589,22620,0,0,1003,0,2944,0,0,0,565,3509
7/1/2022,1401,520,1921,26358,0,0,303,144,2156,0,819,257,0,3232
7/2/2022,711,1124,1835,18640,0,0,390,219,5142,0,169,864,344,6519
7/3/2022,629,716,1345,7634,0,0,1820,380,8907,135,616,417,0,10075
7/4/2022,1275,422,1697,6156,0,0,4773,0,6370,0,2752,348,255,9725
7/5/2022,478,207,685,19105,0,0,3749,0,8243,0,4305,76,100,12724
7/6/2022,780,799,1579,18816,0,0,1938,94,4714,0,6319,494,0,11527
7/7/2022,914,121,1035,11227,0,0,4514,292,7403,0,1069,244,199,8915
