Date,CHINOOK,JACK,SCHUM,FCHUM,COHO,PINK,CISCO,BROAD,HUMPBACK,SHEEFISH,OTHER
6/12/1999,4096.018268,,,,,,285632.3024,22185.10201,365281.8339,622674.1683,60978.49808
6/13/1999,5854.44357,,,,,,222285.601,31709.19154,358787.7564,526338.8227,67853.4125
6/14/1999,4932.156534,,,,,,202536.981,26713.84468,303343.4588,461480.5476,58748.97734
6/15/1999,424962.1076,49701.87824,604233.6988,,,,28343.65206,45644.86217,,226943.8791,171994.9963
6/16/1999,609667.875,54179.38718,833625.1977,,,,38275.7956,61639.67195,,300083.6038,192662.5184
6/17/1999,455191.5336,48349.68039,646869.5576,,,,32075.76201,51655.08428,,252929.2474,170472.7157
6/18/1999,472724.2146,5957.3505,886928.8864,,,,,399627.9335,,357881.7207,29696.00601
6/19/1999,835114.1667,11761.71303,1564620.866,,,,,711852.9636,,586370.6581,58629.4026
6/20/1999,3263636.571,76946.49912,4242989.45,,,,331874.6366,,,266053.54,266313.6279
6/21/1999,4323409.55,8226.857453,10863818.44,,,,,104949.5168,,13839.89086,
6/22/1999,476596.077,24963.49494,1887132.004,,,,19376.51281,,,19215.16936,29797.15962
6/23/1999,2942233.842,411708.0283,6884456.207,,,,,,,9766.536066,5467.140785
6/24/1999,2491684.352,418467.5458,21967388.2,,,,72840.50616,,,3426.373838,663517.3408
6/25/1999,1503516117,1711027228,1775901260,,,,,,,,
6/26/1999,14245667.44,264518.1464,35015136.38,,,,,,,,
6/27/1999,16274669.28,2059270.953,48578765.45,,,,44561.01863,,,100657.8863,30876.99113
6/28/1999,31861329,2672919.866,87215284.29,,,,44222.76049,,,185347.5488,30642.60705
6/29/1999,2302625.502,153111.2257,20976487.04,,,,1025830.474,,,,128066.68
6/30/1999,6321257.837,142807.6947,15072907.07,,,,91288.74971,57022.41994,,86385.50548,
7/1/1999,5436500.861,379174.0257,11171880.78,,,,278045.8872,,,57391.04025,29093.38424
7/2/1999,5798090.075,1455320.666,29448510.16,,,,,,,20768.18029,
7/3/1999,5758919.858,1254746.92,25607563.23,,,,,,,16837.44984,
7/4/1999,1261226.342,,22802172.18,,,,2913582.982,,,20388.38515,
7/5/1999,9391899.397,314147.7498,25756785.28,,,,95181.53068,326467.5132,,,
7/6/1999,5238335.241,170148.9066,13608590.21,,,,56541.37484,183807.9589,,,
7/7/1999,1623536.554,101388.6581,4278433.711,,,,,20072.19831,,739307.0754,4813.139179
7/8/1999,166850.932,57777.35148,3152019.665,,,,224551.8919,,,67688.05755,
7/9/1999,28988.04624,,11744079.13,,,,4123904.196,30251.28391,26486.69065,,
7/10/1999,1425989.151,5939.528278,12935228.84,,,,244377.9667,,,20188.75259,
7/11/1999,309418.3174,339919.6946,2821080.015,,,,160872.897,146144.2634,,,
7/12/1999,1308206.336,202769.6897,2082025.452,,,,38130.70597,,,18479.9136,36483.98746
7/13/1999,89635.71032,,926756.3043,,,,1210290.699,3452.265196,108379.9218,,
7/14/1999,249979.7516,3219.534293,5411781.708,,,,436098.4355,61023.04673,22912.19049,53684.22446,2510.585669
