Date,CHINOOK,JACK,ALLCHINOOK,SCHUM,FCHUM,COHO,PINK,CISCO,BROAD,HUMPBACK,SHEEFISH,OTHER,ALLOTHER,TOTAL
6/1/2009,0,0,0,0,0,0,0,92326.4382,87588.63463,0,158558.3956,12040.83543,350514.3038,350514.3038
6/2/2009,0,0,0,0,0,0,0,111654.4611,105924.8249,0,191751.7079,14561.51691,423892.5108,423892.5108
6/3/2009,0,0,0,0,0,0,0,205885.376,157506.5129,64048.91324,537916.0228,30280.3951,995637.2201,995637.2201
6/4/2009,0,0,0,0,0,0,0,198441.3104,176000.0792,20840.00297,398887.6432,27002.10679,821171.1426,821171.1426
6/5/2009,0,0,0,0,0,0,0,173188.8393,142554.0251,36973.04712,400490.3822,24577.52486,777783.8186,777783.8186
6/6/2009,0,0,0,0,0,0,0,211994.2316,173790.2978,46123.8977,500719.1992,30104.28116,962731.9073,962731.9073
6/7/2009,0,0,0,0,0,0,0,199035.7087,140277.9229,82160.33301,579835.8198,30351.73661,1031661.521,1031661.521
6/8/2009,0,0,0,3596.66053,0,0,0,0,0,234073.388,2364610.756,0,2598684.144,2602280.805
6/9/2009,384986.9652,0,384986.9652,20284.67346,0,0,0,214192.6348,223337.633,1600.394915,398841.3759,0,837972.0386,1243243.677
6/10/2009,610646.6351,177.7113684,610824.3465,1183616.271,0,0,0,251522.2469,0,0,176917.7398,46533.73209,474973.7188,2269414.337
6/11/2009,4708.211564,40750.98879,45459.20035,201105.2626,0,0,0,2717926.23,180865.4037,0,59470.22084,0,2958261.855,3204826.318
6/12/2009,1521876.283,108.533973,1521984.817,35807.41475,0,0,0,908998.8382,0,0,2456000.518,0,3364999.356,4922791.588
6/13/2009,516678.9081,18392.28739,535071.1955,6139449.344,0,0,0,340081.9588,0,0,252844.8436,0,592926.8024,7267447.342
6/14/2009,250122.3717,44795.57891,294917.9506,3225167.151,0,0,0,691903.7754,0,0,403543.2355,0,1095447.011,4615532.112
6/15/2009,670.5973927,13673.8848,14344.48219,8131265.731,0,0,0,29326.62237,0,1895528.03,0,309815.8093,2234670.462,10380280.67
6/16/2009,253372.288,1723611.375,1976983.663,3864388.119,0,0,0,28261.391,0,143354.2658,0,0,171615.6568,6012987.439
6/17/2009,1284241.443,258821.2103,1543062.654,3278504.951,0,0,0,50328.09054,50750.36726,32913.42505,54128.5638,0,188120.4467,5009688.051
6/18/2009,2940087.937,138698.726,3078786.663,5743207.426,0,0,0,0,46062.57522,0,23780.27635,0,69842.85157,8891836.94
6/19/2009,98383.37766,716367.9343,814751.3119,5715909.525,0,0,0,0,0,0,34747.39616,0,34747.39616,6565408.233
6/20/2009,1221275.734,163674.9726,1384950.707,1027636.651,0,0,0,402978.7827,0,711446.5945,0,24461.7876,1138887.165,3551474.522
6/21/2009,371779.5339,86402.08766,458181.6216,6076647.863,0,0,0,0,0,0,38235.96149,4756.285517,42992.247,6577821.732
6/22/2009,130556.1425,127242.9178,257799.0603,1234049.21,0,0,0,63734.79508,0,123617.4763,27760.33214,0,215112.6035,1706960.874
6/23/2009,1663985.028,552947.0696,2216932.098,16591720.87,0,0,0,0,0,0,0,0,0,18808652.97
6/24/2009,1804804.671,1780623.311,3585427.983,27188611.14,0,0,0,119048.6386,0,0,0,0,119048.6386,30893087.76
6/25/2009,2494433.907,1876411.064,4370844.971,10031532.58,0,0,0,0,0,0,187954.7828,923858.0562,1111812.839,15514190.39
6/26/2009,12490626.5,3791554.225,16282180.72,154634842.3,0,0,0,0,152618.6852,0,435357.8803,0,587976.5654,171504999.6
6/27/2009,7103738.211,5622720.175,12726458.39,216882460.2,0,0,0,0,0,0,0,0,0,229608918.6
6/28/2009,19466047.14,2503376.152,21969423.3,449227092.6,0,0,0,372653.0093,0,0,0,0,372653.0093,471569168.9
6/29/2009,14100373.38,2213882.39,16314255.77,327882322.1,0,0,0,272959.2459,0,0,0,0,272959.2459,344469537.1
6/30/2009,14382944.77,3371755.028,17754699.8,79592881.69,0,0,0,8724408.715,0,0,681779.3591,0,9406188.074,106753769.6
7/1/2009,14067326.72,2909554.623,16976881.34,71156100.99,0,0,0,8971773.974,0,0,600061.1289,0,9571835.103,97704817.44
7/2/2009,160766.5916,213473.7888,374240.3804,15243230.43,0,0,0,5118629.831,0,0,0,0,5118629.831,20736100.64
7/3/2009,9360956.635,408982.6652,9769939.301,31030602.87,0,0,0,4085412.477,0,1270769.872,0,597644.8984,5953827.247,46754369.41
7/4/2009,9448925.34,377962.0705,9826887.411,32845505.65,0,0,0,4026292.348,0,1359179.154,0,625984.4308,6011455.932,48683848.99
7/5/2009,1767390.47,179112.2891,1946502.759,9329888.388,0,0,0,0,0,1013924.788,0,668551.1329,1682475.921,12958867.07
7/6/2009,2416674.237,449928.2104,2866602.448,49942601.88,0,0,114010.2735,16639526.51,0,108277.6487,0,248307.8621,16996112.02,69919326.62
7/7/2009,3001233.185,439014.9278,3440248.113,73274004.22,0,0,76808.8406,24903101.23,0,72946.76521,0,310825.9535,25286873.95,102077935.1
7/8/2009,1340134.52,659368.0346,1999502.555,10975526.4,0,0,1839415.075,2348384.266,0,539945.7255,40823.2675,827255.0658,3756408.325,18570852.35
7/9/2009,797146.5466,362340.075,1159486.622,6265706.805,0,0,1121737.995,1420309.917,0,319314.6243,24895.41968,505738.2645,2270258.225,10817189.65
7/10/2009,23468264.2,13818162.12,37286426.32,53492893.85,0,0,0,11993455.13,0,15552223.25,158143.2017,473078.0142,28176899.59,118956219.8
7/11/2009,0,1446586.929,1446586.929,10772628.91,0,0,1058548.373,5436242.178,0,0,0,352503.6617,5788745.839,19066510.05
7/12/2009,80694.19697,0,80694.19697,13400414.08,0,0,77135.19435,1315036.986,0,0,348842.0984,3124146.12,4788025.204,18346268.68
7/13/2009,34966107.17,0,34966107.17,28447656.89,0,0,4089506.958,21445403.36,0,302142.5409,1257123.941,328298.847,23332968.69,90836239.7
7/14/2009,19171093.1,0,19171093.1,16609117.01,0,0,2982983.541,15581454.13,0,228964.5903,688268.147,284835.645,16783522.51,55546716.16
7/15/2009,453539.2397,1242821.037,1696360.276,783457.2138,0,0,0,1748167.486,0,2524699.898,2312768.853,260968.0004,6846604.238,9326421.728
7/16/2009,310012.6783,0,310012.6783,14517274.71,0,0,382137.426,5990361.445,0,8365310.319,1892489.038,129154.7271,16377315.53,31586740.34
7/17/2009,754630.48,0,754630.48,26163914.04,0,0,376685.5271,12499338.77,0,12434594.98,2896724.079,127312.0955,27957969.92,55253199.97
7/18/2009,0,0,0,13201210.08,0,0,0,55188581.35,777202.8529,12614126.47,563075.0596,742464.93,69885450.66,83086660.74
7/19/2009,39694.82987,8033.349395,47728.17927,0,4620293.697,0,2422886.35,4497323.049,8266443.773,9480048.699,0,1262938.442,23506753.96,30597662.19
7/20/2009,0,0,0,0,1653407.125,0,1375714.485,1577858.248,951900.2594,2445264.394,358897.4484,204512.3025,5538432.653,8567554.263
7/21/2009,0,0,0,0,991422.4789,0,1047511.589,1079472.004,421105.5027,1323233.341,155394.3104,94103.14669,3073308.305,5112242.373
7/22/2009,0,0,0,0,338658.9381,0,23400.20748,3189828.372,2854163.167,3645146.935,13392.44875,319261.35,10021792.27,10383851.42
7/23/2009,5832.491098,42402.162,48234.6531,0,538546.959,0,6577140.657,1176199.528,20429.79779,6973571.223,0,27110.99422,8197311.544,15361233.81
7/24/2009,0,0,0,0,11086325.04,0,56520.24301,4163.634811,22754.11484,10501228.8,10045.6049,22802.21753,10560994.37,21703839.66
7/25/2009,0,0,0,0,7287904.261,0,2899876.231,11920046.29,4367.311795,9300725.038,0,20858.14398,21245996.79,31433777.28
7/26/2009,0,0,0,0,688061.3788,0,1157583.888,3959004.255,37749.52396,2491395.432,1971.278482,47901.66951,6538022.159,8383667.425
7/27/2009,0,0,0,0,557919.9875,0,1072434.292,3543130.298,34821.23964,2300549.83,2004.062699,48698.31938,5929203.749,7559558.028
7/28/2009,0,0,0,0,5545.542534,59052.35968,8483739.399,606650.0232,7755301.745,527828.7717,0,51878.87643,8941659.416,17489996.72
7/29/2009,0,0,0,0,935516.3632,0,1175941.724,2348535.888,0,3737352.008,21357.83098,12268.48601,6119514.213,8230972.3
7/30/2009,0,0,0,0,232550.1919,4417.140252,0,9420541.761,0,12668114.21,0,16509.89149,22105165.87,22342133.2
7/31/2009,11679.26765,0,11679.26765,0,3582844.875,0,131238.0864,942815.2902,0,3507389.032,0,241015.494,4691219.816,8416982.045
8/1/2009,0,0,0,0,5685502.969,3817.139509,611499.0446,2271043.288,0,1868622.239,209120.4227,20995.6082,4369781.559,10670600.71
8/2/2009,0,0,0,0,66717762.97,7779332.338,233886.2099,25456299.95,91873.49121,12458235.04,0,758393.0269,38764801.51,113495783
8/3/2009,0,0,0,0,31931649.01,3572556.338,219466.8127,12591025.06,86209.3678,8309785.805,0,711637.0841,21698657.31,57422329.47
8/4/2009,0,0,0,0,49455.0206,0,24075.9071,112198.751,0,48421995.63,0,502879.6675,49037074.04,49110604.97
