"Date","CHINOOK","JACK","ALLCHINOOK","SCHUM","FCHUM","COHO","PINK","CISCO","BROAD","HUMPBACK","SHEEFISH","OTHER","ALLOTHER","TOTAL"
"06/15/2013",0,0,0,9298692.943665,0,0,0,11505277.4262,10005.047792,613508.550115,3077345.677544,0,15206136.701651,24504829.645316
"06/19/2013",4267441.066667,392261.176845,4659702.243512,108374294.7664,0,0,0,35237915.2666,278379.89697,0,1706671.918526,0,37222967.082096,150256964.092008
"06/21/2013",27788963.86949,442855.45953,28231819.32902,382129555.1045,0,0,0,44460505.413,72294.768873,0,1000130.1848,0,45532930.366673,455894304.800193
"06/25/2013",1673548.901713,175255.93366,1848804.835373,181104273.297,0,0,0,4416142.1035,261439.88084,4822236.8662,751775.45214,0,10251594.30268,193204672.435053
"07/06/2013",10645013.429587,150829.5555,10795842.985087,37430358.4884,0,0,0,3853980.57014,208167.96705,118075.85218,320908.0853,0,4501132.47467,52727333.948157
"07/07/2013",208945.1203751,5857527.36983,6066472.4902051,121116166.8924,0,0,0,1112491.533474,48643.69457,0,243067.28129,120675.63589,1524878.145224,128707517.527829
"07/12/2013",42969.639755,0,42969.639755,8065596.41579,0,0,1292532.663,859360.98429,416344.80711,3844400.3741,113734.384788,44350.852395,5278191.402683,14679290.121228
"07/13/2013",20651.894407,123436.55443,144088.448837,25731892.1736,0,0,50925.829879,13654021.7853,201342.8774,585790.12582,330026.758177,65618.803022,14836800.349719,40763706.802035
"07/14/2013",11193.768712,66905.254,78099.022712,14403697.4499,0,0,34295.618495,7742526.95637,135592.85193,317510.7839,182926.081216,35566.795457,8414123.468873,22930215.55998
"07/16/2013",311597.95323,0,311597.95323,2205449.85277,0,0,0,2651393.06041,69547.590316,5197873.57491,396849.018765,109695.57078,8425358.815181,10942406.621181
"07/17/2013",281177.63165,0,281177.63165,2210806.13584,0,0,0,2457679.52172,62757.879277,4882124.05028,389163.994635,132143.67858,7923869.124492,10415852.891982
"07/23/2013",0,0,0,0,7167487.8211,26775.199961,0,8105709.50358,13994.298306,2959493.92824,125144.751864,32278.7379,11236621.21989,18430884.240951
"07/24/2013",0,0,0,0,6690667.70992,27793.130248,0,7483562.32339,14526.328696,2811836.71729,118498.731075,33505.899788,10461930.000239,17180390.840407
"07/25/2013",0,0,0,0,14387657.6046,0,0,8258090.28746,23922.550968,27760118.26316,434849.52285,6510.1951059,36483490.8195439,50871148.4241439
"07/27/2013",0,0,0,0,14879194.04065,64079.4935938,0,12517264.43243,904007.64135,1796352.199343,50312.24313,9164.6646098,15277101.1808628,30220374.7151066
"07/28/2013",0,0,0,0,10579892.22542,30947.9236209,0,8979800.12238,654219.5653,1305526.408217,39935.726517,7274.5223965,10986756.3448105,21597596.4938514
"07/29/2013",0,0,0,0,152620.587506,0,0,6233911.5593,1021443.06053,2107725.37694,581460.73196,61034.942878,10005575.671608,10158196.259114
"07/31/2013",0,0,0,0,68509205.75312,14405.314359,0,1037924.9183,826958.925011,47585015.52297,56843.555639,187247.20487,49693990.12679,118217601.194269
"08/01/2013",25067.201339,0,25067.201339,0,53933965.3024,290808.669279,991193.76673,34332908.7241,167951.037571,4409808.23149,21849.731014,362838.162303,39295355.886478,94536390.826226
"08/02/2013",16001.029119,0,16001.029119,0,34369992.03136,146165.534259,643589.85033,22263274.9814,108834.690447,2829743.151141,13947.236369,235268.85137,25451068.910727,60626817.355795
"08/03/2013",0,0,0,0,3617163.97564,549286.13877,0,14756433.0271,638293.728402,19488332.18006,47822.171351,111950.76334,35042831.870253,39209281.984663
"08/04/2013",0,0,0,0,3321170.95186,529676.928395,0,14128746.2257,622551.701026,18949957.12345,42879.828615,104413.16103,33848548.039821,37699395.920076
"08/05/2013",0,0,0,0,1087780.71476,278807.70637,0,4997379.22229,360692.108634,3278142.587419,29432.461359,0,8665646.379702,10032234.800832
"08/06/2013",0,0,0,0,918291.346421,58886.469367,0,11016948.1277,836109.91019,7142977.0525,63560.603466,0,19059595.693856,20036773.509644
"08/07/2013",0,0,0,0,9657575.05333,90481.473071,0,47316738.36928,64328.27327,42438265.78704,35779.675866,108248.33887,89963360.444326,99711416.970727
"08/09/2013",0,0,0,0,1103952.151298,921847.032697,0,6423994.30491,23610.689457,4906968.31911,20658.413228,15880.570543,11391112.297248,13416911.481243
"08/10/2013",0,0,0,0,16055344.67231,152715.724587,0,12651705.77946,10068.554076,1756190.52108,0,243750.92874,14661715.783356,30869776.180253
"08/13/2013",0,0,0,0,579587.457039,2823465.160127,0,2777738.82381,9135.2839557,1202903.4549,0,593178.881012,4582956.4436777,7986009.0608437
"08/21/2013",0,0,0,0,83910605.94131,20355887.527272,0,451229.251687,12678.46332,15791425.817329,28356.435312,687914.4655,16971604.433148,121238097.90173
"08/22/2013",0,0,0,0,7545204.98162,758866.95864,0,11111116.99562,10192.990679,381446.19566,0,73964.659211,11576720.84117,19880792.78143
"08/23/2013",0,0,0,0,7222062.20511,1034208.09644,0,3853813.82972,8147.9212984,1012002.038653,180492.1373497,905099.55776,5959555.4847811,14215825.7863311
"08/24/2013",0,0,0,0,19640443.18698,6843370.624197,0,6220733.76489,120255.09269,69448.432607,5652.2045431,931507.40771,7347596.9024401,33831410.7136171
"08/25/2013",0,0,0,0,70755490.94268,23746668.381166,0,22861902.1834,78650.376011,70998.976536,3696.7084109,3053637.20236,26068885.4467179,120571044.770564
"08/26/2013",0,0,0,0,32105450.67271,539259.922087,0,5312615.054711,2528482.1047141,9340589.440189,0,90400.286747,17272086.8863611,49916797.4811581
"08/27/2013",0,0,0,0,29150623.90309,11786312.63331,0,3319065.95982,71327.983656,5287160.817828,0,965317.60621,9642872.367514,50579808.903914
"08/28/2013",0,0,0,0,11151912.57855,4877413.51352,0,1744494.14641,62048.492171,2182626.668259,0,554722.44648,4543891.75332,20573217.84539
"09/02/2013",0,0,0,0,598801.07121,894668.466379,0,153771.204896,426050.84273,969598.44597,0,858570.044508,2407990.538104,3901460.075693
"09/04/2013",0,0,0,0,775960.132594,17816.7477804,0,1750227.3235351,48895.617705,328596.759088,0,0,2127719.7003281,2921496.5807025
"09/06/2013",0,0,0,0,579264.999762,192466.4549846,0,909887.084431,69360.917179,264999.918616,0,7429.3243663,1251677.2445923,2023408.6993389
"09/07/2013",0,0,0,0,1131977.4505784,97183.7361365,0,576797.42248,41402.990998,294089.392369,21926.563456,9312.4947194,943528.8640224,2172690.0507373
"06/16/2013",357361.685423,0,357361.685423,9660020.63431,0,0,0,3356440.87867,0,0,594628.16781,0,3951069.04648,13968451.366213
"06/17/2013",520091.4347,0,520091.4347,7638467.89829,0,0,0,279704.608,0,0,2796051.2026,563407.22835,3639163.03895,11797722.37194
"06/18/2013",1333972.0726552,0,1333972.0726552,83454053.86329,0,0,0,2187355.062977,0,0,327463.9638463,0,2514819.0268233,87302844.9627685
"06/20/2013",1676339.1349283,986415.35722,2662754.4921483,132653541.8688,0,0,0,1379466.89,0,0,349376.84058,0,1728843.73058,137045140.091528
"06/22/2013",104643482.797414,2494947.41697,107138430.214384,608893511.1457,0,0,0,1517720.8239,0,0,61301.296374,0,1579022.120274,717610963.480358
"06/23/2013",27126421.5128,1874227.9913,29000649.5041,320468119.647,0,0,0,5084714.8684,0,0,1662702.826,0,6747417.6944,356216186.8455
"06/24/2013",3420568.108295,0,3420568.108295,211956100.5618,0,0,0,19739070.16395,0,1153171.238,73756.932179,0,20965998.334129,236342667.004224
"06/26/2013",2008637.811053,302960.32441,2311598.135463,327375047.983,0,0,0,813352.1369,0,0,261334.75015,0,1074686.88705,330761333.005513
"06/27/2013",2271601.700262,93822.443672,2365424.143934,38038512.0744,0,0,0,875598.98169,0,828889.67484,0,0,1704488.65653,42108424.874864
"06/28/2013",323412.277063,69884.851449,393297.128512,84043877.6748,0,0,0,372203.98892,0,0,337665.25569,0,709869.24461,85147044.047922
"06/29/2013",866671.87852,2849154.6757,3715826.55422,440184640.2361,0,0,516485.92825,1336648.2441,0,0,0,0,1336648.2441,445753600.96267
"06/30/2013",1430781.47343,430418.2559,1861199.72933,556658897.22,0,0,0,1452358.44711,0,643264.93916,518030.161457,0,2613653.547727,561133750.497057
"07/01/2013",2039099.3317,326228.61781,2365327.94951,596921793.8567,0,0,0,375892.1883,0,0,91150.55259,0,467042.74089,599754164.5471
"07/02/2013",126346797.8351,2110604.15903,128457401.99413,228229431.0339,0,0,873673.52815,0,0,339954.91418,1339225.2437,487546.90134,2166727.05922,359727233.6154
"07/03/2013",33143656.11123,106954.01153,33250610.12276,80203866.9874,0,0,0,655982.60025,0,0,358886.92025,195288.18621,1210157.70671,114664634.81687
"07/04/2013",2916315.925949,0,2916315.925949,47612235.7918,0,0,0,13728672.6106,0,0,718527.47915,0,14447200.08975,64975751.807499
"07/05/2013",20111521.709499,0,20111521.709499,110460865.1427,0,0,0,76139.868948,0,169108.96058,981777.726577,353235.78884,1580262.344945,132152649.197144
"07/08/2013",4364095.229737,0,4364095.229737,38599521.0097,0,0,0,10474443.85365,0,0,682820.355221,69000.648806,11226264.857677,54189881.097114
"07/09/2013",670936.46883,0,670936.46883,5922347.69786,0,0,0,3114992.704198,0,404252.65507,359783.375092,116405.68627,3995434.42063,10588718.58732
"07/10/2013",1456.7989129,44312.843097,45769.6420099,7545387.67118,0,0,0,6079357.96517,0,232405.30648,1219954.3614,54054.938235,7585772.571285,15176929.8844749
"07/11/2013",2141.3019619,65134.025717,67275.3276789,9683367.70868,0,0,0,8878305.59193,0,341605.10026,1341119.97595,79453.618659,10640484.286799,20391127.3231579
"07/19/2013",130256.37366,0,130256.37366,0,2875771.10681,0,0,328130.466232,0,13774.005884,17517.877979,58639.858942,418062.209037,3424089.689507
"07/20/2013",8604.2324315,0,8604.2324315,0,8873282.83065,0,12365.55443,1831745.07313,0,2891949.67099,56681.805812,0,4780376.549932,13674629.1674435
"07/21/2013",7239.1364742,0,7239.1364742,0,6605503.4304,0,10403.709664,1457847.96568,0,2174622.121981,44044.269129,0,3676514.35679,10299660.6333282
