Date,CHINOOK,JACK,ALLCHINOOK,SCHUM,FCHUM,COHO,PINK,CISCO,BROAD,HUMPBACK,SHEEFISH,OTHER,ALLOTHER
6/1/2018,0,0,0,86031,0,0,0,190186,25717,0,107560,52973,376436
6/2/2018,0,0,0,55304,0,0,0,110601,25572,0,79334,40980,256487
6/3/2018,28924,0,28924,110725,0,0,0,99727,53190,0,132911,72746,358574
6/4/2018,36213,0,36213,97609,0,0,0,84518,26240,0,79832,35180,225770
6/5/2018,25085,0,25085,82974,0,0,0,72500,33177,0,87410,44745,237832
6/6/2018,30361,2620,32981,237486,0,0,0,187665,56532,0,124018,80140,448355
6/7/2018,174562,0,174562,128633,0,0,0,198956,0,65576,28395,0,292927
6/8/2018,226359,0,226359,800300,0,0,0,276972,0,36671,59656,15019,388318
6/9/2018,584489,80838,665327,2873066,0,0,0,65600,0,69022,255231,0,389853
6/10/2018,967436,165472,1132908,4537778,0,0,0,0,0,116465,70328,62620,249413
6/11/2018,957768,48121,1005889,9876356,0,0,0,192016,104925,50432,89251,28268,464892
6/12/2018,364202,792779,1156981,19417620,0,0,0,566564,53405,23136,90179,158928,892212
6/13/2018,164124,139740,303864,9317721,0,0,0,280960,21269,210148,7712,100068,620157
6/14/2018,124686,1389,126075,1676023,0,0,0,1017919,95213,68706,17785,286141,1485764
6/15/2018,1933749,330813,2264562,17416012,0,0,0,4682978,119666,0,106143,219818,5128605
6/16/2018,959151,27821,986972,46878519,0,0,0,1837223,0,487836,43642,0,2368701
6/17/2018,1268575,980661,2249236,57953589,0,0,0,2631671,712528,114070,2222,22618,3483109
6/18/2018,935487,97996,1033483,15385045,0,0,78161,683695,0,0,97790,0,781485
6/19/2018,169572,104489,274061,13873163,0,0,0,860594,632999,0,730980,514744,2739317
6/20/2018,2839096,150994,2990090,49920516,0,0,159792,523454,265140,0,224037,0,1012631
6/21/2018,780283,7547240,8327523,72581654,0,0,0,46612538,0,0,166170,0,46778708
6/22/2018,5884181,404427,6288608,209069897,0,0,0,14221767,0,0,0,0,14221767
6/23/2018,6071757,151657,6223414,65526915,0,0,0,5104784,198356,80854,111949,0,5495943
6/24/2018,379126,160506,539632,22433777,0,0,41808,1667915,0,11858,54051,55918,1789742
6/25/2018,14941569,1032802,15974371,3935844,0,0,8174571,47002915,0,0,74782,0,47077697
6/26/2018,1885387,3086696,4972083,400634353,0,0,2013046,2284469,0,488663,35758,474879,3283769
6/27/2018,1464330,503247,1967577,70709373,0,0,10056530,23546287,0,1176730,367501,132116,25222634
6/28/2018,12275494,2576864,14852358,65033860,0,0,685548,254970,53085,91377,176760,0,576192
6/29/2018,1121774,86310,1208084,302954627,0,0,23531067,41186616,0,7243685,90387,206796,48727484
6/30/2018,6088694,1884556,7973250,37934651,0,0,37968,650929,0,394016,358432,2078986,3482363
7/1/2018,8376262,420853,8797115,763538,0,0,4742129,30644898,0,0,68352,3984,30717234
7/2/2018,685628,1191558,1877186,132529789,0,0,81149951,303193,0,1784817,40556,120189,2248755
7/3/2018,396349,793457,1189806,146459982,0,0,110765111,11050301,125766,1934792,1293330,629629,15033818
7/4/2018,48556154,197413,48753567,1120249767,0,0,91219875,16726896,0,44571,82183,218019,17071669
7/5/2018,1033111,69305843,70338954,971187458,0,0,216566272,213299812,67999,5850891,25399690,0,244618392
7/6/2018,688792,335144,1023936,308619279,0,0,32649959,4260213,291856,691595,0,26878,5270542
7/7/2018,615554,165073,780627,14079221,0,0,23305852,3465587,0,587353,73716,186196,4312852
7/8/2018,168188,32930,201118,876867,0,0,1091099,778973,0,208920,14349,34656,1036898
7/9/2018,1026290,5995,1032285,1729170,0,0,4855318,2853013,10204,202725,67052,4738,3137732
7/10/2018,31328,0,31328,4868118,0,0,807479,609698,0,587611,54267,0,1251576
7/11/2018,108476,0,108476,24294292,0,0,2038549,1086501,0,1201489,81590,0,2369580
7/12/2018,166410,350275,516685,14129726,0,0,1553337,1437663,0,61412,0,16546,1515621
7/13/2018,84584,0,84584,1274713,0,0,26393053,25005117,53824,697700,0,12163,25768804
7/14/2018,56431,0,56431,377941,0,0,13178066,11994533,31251,514543,0,10623,12550950
7/15/2018,9535,73717,83252,3421787,0,0,5072612,1060395,5796,175342,8289,8167,1257989
7/16/2018,15354,114195,129549,4466457,0,0,5472002,1222195,4419,163780,7340,5843,1403577
7/17/2018,9727,72415,82142,5951713,0,0,3473184,854630,3150,118295,5418,3883,985376
7/18/2018,0,0,0,1668496,0,0,14200273,104984,7583,3532158,830,11256,3656811
7/19/2018,115589,0,115589,0,9132261,0,10593541,3363374,0,965544,0,9051,4337969
7/20/2018,288238,0,288238,0,8272784,0,5379812,3384398,4821,418556,0,18645,3826420
7/21/2018,71550,0,71550,0,12041713,0,7416053,6642125,4830,13268,907,10447,6671577
7/22/2018,118491,0,118491,0,10461967,0,12564118,10143289,16708,31098,3077,34901,10229073
7/23/2018,311157,0,311157,0,3596717,0,11445684,35656,0,5507102,0,122129,5664887
7/24/2018,0,25177,25177,0,428623,0,6702665,588104,31881,399558,0,163368,1182911
7/25/2018,0,16440,16440,0,779833,0,7332895,680759,20818,534062,0,192797,1428436
7/26/2018,0,0,0,0,3326696,0,13442515,29628422,0,1975927,0,199652,31804001
7/27/2018,3430205,6319,3436524,0,8255728,0,35375140,6472955,0,125773,0,285496,6884224
7/28/2018,0,0,0,0,646099,0,4250586,426414,42433,737416,0,23927,1230190
7/29/2018,0,0,0,0,562894,0,2516777,228522,64686,887646,0,39141,1219995
7/30/2018,0,0,0,0,182611,0,7819518,8285916,0,4725902,0,335503,13347321
7/31/2018,0,0,0,0,81743,2287,18086849,3566215,636258,1769128,30862,371306,6373769
8/1/2018,0,0,0,0,74719,2334,7466541,1369784,226339,716939,23718,165978,2502758
8/2/2018,0,4676,4676,0,6851738,0,2138433,861338,2807,1395561,0,70822,2330528
