Date,CHINOOK,JACK,ALLCHINOOK,SCHUM,FCHUM,COHO,PINK,SOCKEYE,CISCO,BROAD,HUMPBACK,SHEEFISH,OTHER,ALLOTHER,TOTAL
5/31/2021,251143,0,251143,0,0,0,0,,156729,251940,377616,2321306,43196,3150787,
6/1/2021,35004,0,35004,0,0,0,0,,88445,153094,152464,300165,43406,737574,
6/2/2021,111811,0,111811,0,0,0,0,,198903,269955,60859,20319,162189,712225,
6/3/2021,172378,0,172378,0,0,0,0,,254399,378097,53405,31776,149103,866780,
6/4/2021,94999,18711,113710,0,0,0,0,,380437,107840,132381,51135,51028,722821,
6/5/2021,68311,13683,81994,0,0,0,0,,280061,77136,93187,31705,37612,519701,
6/6/2021,35225,0,35225,2646,0,0,0,,14560,16606,18990,29567,38959,118682,
6/7/2021,17291,0,17291,103813,0,0,0,,17228,20161,30120,164655,47771,279935,
6/8/2021,235339,0,235339,0,0,0,0,,0,30320,2171,264462,11407,308360,
6/9/2021,66150,59202,125352,119457,0,0,0,,738,8621,199678,57427,6256,272720,
6/10/2021,321541,4088,325629,264888,0,0,0,,1353,0,18322,13736,50623,84034,
6/11/2021,216379,17010,233389,0,0,0,0,,2169,0,214772,273675,84768,575384,
6/12/2021,43285,40685,83970,976418,0,0,0,,930169,74639,19126,73663,7703,1105300,
6/13/2021,1611306,120220,1731526,131892,0,0,0,,314380,24706,21161,29569,5698,395514,
6/14/2021,19313,17620,36933,104632,0,0,0,,65363,0,239275,153712,8203,466553,
6/15/2021,52041,0,52041,85385,0,0,0,,15031,0,85375,81975,10107,192488,
6/16/2021,173710,0,173710,396248,0,0,0,,1399,0,24562,297362,163437,486760,
6/17/2021,95993,18321,114314,0,0,0,0,,49107,0,32539,181400,164645,427691,
6/18/2021,3264015,19834,3283849,4140244,0,0,0,,39010,0,273845,113417,654980,1081252,
6/19/2021,866484,68315,934799,36017,0,0,0,,374539,548,102697,266155,478591,1222530,
6/20/2021,970910,31363,1002273,155158,0,0,0,,0,339,318893,453617,33860,806709,
6/21/2021,608564,176820,785384,423567,0,0,0,,0,714,3014,91517,183834,279079,
6/22/2021,319671,3923,323594,204972,0,0,0,,84554,113,446,1443124,805602,2333839,
6/23/2021,156809,58387,215196,305043,0,0,0,,236016,22454,116374,232182,232455,839481,
6/24/2021,234296,26111,260407,93707,0,0,0,,433858,0,155393,74554,64269,728074,
6/25/2021,285962,49794,335756,279933,0,0,0,,351344,521715,49444,435445,169634,1527582,
6/26/2021,1267626,31534,1299160,114477,0,0,0,,255370,3096,882878,349500,191095,1681939,
6/27/2021,264939,12631,277570,215347,0,0,0,,867503,74476,828016,29733,30647,1830375,
6/28/2021,328418,181154,509572,2067209,0,0,0,,1048532,41085,504387,92451,0,1686455,
6/29/2021,1237313,177238,1414551,340480,0,0,0,,109310,34772,1196913,27089,0,1368084,
6/30/2021,7362656,174582,7537238,13692906,0,0,0,,21959,14297,49544,50915,184317,321032,
7/1/2021,5562351,79518,5641869,5968177,0,0,0,,47234,50121,101526,77285,144983,421149,
7/2/2021,256391,116360,372751,182421,0,0,0,,158619,32100,10395,51687,382797,635598,
7/3/2021,334163,6885,341048,102431,0,0,0,,338713,0,606446,40939,0,986098,
7/4/2021,428403,462482,890885,4628760,0,0,0,,127745,365704,229414,438222,11646,1172731,
7/5/2021,798044,485150,1283194,470373,0,0,0,,731918,115965,343800,80379,770,1272832,
7/6/2021,1841472,200537,2042009,1131061,0,0,0,,1779868,0,93795,317217,3098,2193978,
7/7/2021,866763,63086,929849,14228017,0,0,25575,,1659313,0,9060048,12245,1310903,12042509,
7/8/2021,437024,85612,522636,958145,0,0,1996,,309647,180040,156047,19185,33189,698108,
7/9/2021,169636,31384,201020,549161,0,0,1352,,171632,122382,67669,7610,14036,383329,
7/10/2021,1175641,465989,1641630,1474094,0,0,30362,,136054,30338,116674,18833,15201,317100,
7/11/2021,1628174,29009,1657183,2069948,0,0,0,,251884,44227,366651,23733,28856,715351,
7/12/2021,118390,23465,141855,1363083,0,0,93651,,274151,0,456168,105170,435905,1271394,
7/13/2021,2533147,347330,2880477,662451,0,0,0,,4501572,0,1072096,29452,82988,5686108,
7/14/2021,145234,129837,275071,756030,0,0,9711,,90652,0,135207,34024,154462,414345,
7/15/2021,13701,6257,19958,233399,0,0,13223,,825553,0,1670066,23517,19288,2538424,
7/16/2021,198975,229,199204,316741,0,0,0,,7070542,0,9440734,364920,26888,16903084,
7/17/2021,44282,1311,45593,30556849,0,0,43960,,40163164,11436,1768054,54409,0,41997063,
7/18/2021,434087,4158,438245,6474264,0,0,444116,,6949317,153490,15945172,16070,22512,23086561,
7/19/2021,34506,0,34506,0,2317287,0,52317,,4036233,206257,755031,93529,0,5091050,
7/20/2021,1468,0,1468,0,3695798,0,133864,,693054,0,496945,48898,2359,1241256,
7/21/2021,166581,0,166581,0,788598,0,1057727,,29173269,332566,11155890,2675,35976,40700376,
7/22/2021,14726,0,14726,0,739855,0,141222,,16947396,33975,10049021,4886,74604,27109882,
7/23/2021,4516,0,4516,0,633940,0,434021,,20390583,0,27898051,8270,8021,48304925,
7/24/2021,4506,0,4506,0,2952561,0,6383828,,8908547,95656,3958501,20251,2644,12985599,
7/25/2021,24534,0,24534,0,2803110,0,1950814,,15879509,3932,2443228,0,411718,18738387,
7/26/2021,0,0,0,0,1268706,0,246813,,1591444,68325,1356229,0,16903,3032901,
7/27/2021,0,0,0,0,638821,0,77921,,744420,15338,1492286,0,20838,2272882,
7/28/2021,0,0,0,0,120037,0,34305,,1657629,68511,741697,101909,41729,2611475,
7/29/2021,0,0,0,0,132532,0,44462,,1804349,81166,729363,124980,48511,2788369,
7/30/2021,0,0,0,0,5062188,0,62026,,1659156,67833,11092541,51065,80049,12950644,
7/31/2021,0,0,0,0,1482646,0,188554,,20579,82121,1782983,0,82340,1968023,
8/1/2021,284919,0,284919,0,598286,0,72123,,1273619,0,717299,0,29379,2020297,
8/2/2021,0,0,0,0,322884,42593,93693,,250673,29565,521695,106867,340111,1248911,
8/3/2021,889513,0,889513,0,311467,0,23160,,1798933,10707,566461,17488,5473,2399062,
8/4/2021,0,0,0,0,244380,19857,6619,,454312,10761,1760692,43978,245685,2515428,
8/5/2021,0,0,0,0,38336,0,11099,,5579243,82543,3786105,0,17848,9465739,
8/6/2021,295686,0,295686,0,166812,27385,52635,,1047901,0,599780,82097,0,1729778,
8/7/2021,0,0,0,0,75197,157132,40855,,14342319,0,13517831,20351,5920,27886421,
8/8/2021,0,0,0,0,201558,1077,318863,,4242491,243039,5721224,0,78423,10285177,
8/9/2021,0,0,0,0,2039695,125688,245631,,1547822,357373,4928229,0,4149,6837573,
8/10/2021,0,0,0,0,3542332,23286,167015,,2741492,53663,833370,2752,31006,3662283,
8/11/2021,0,0,0,0,112125,16778,21532,,5343625,92117,5985703,23463,3447,11448355,
8/12/2021,0,0,0,0,243690,238604,0,,1375769,0,297378,0,0,1673147,
8/13/2021,0,0,0,0,1366470,142970,0,,2357554,12147,110019,0,1575,2481295,
8/14/2021,0,0,0,0,189600,171367,20605,,368719,0,1313279,0,19503,1701501,
8/15/2021,0,0,0,0,3623658,97320,0,,1808378,11703,780887,0,543,2601511,
8/16/2021,0,0,0,0,96259,79804,13394,,632257,42291,415899,2543,0,1092990,
8/17/2021,0,0,0,0,73618,51830,6573,,344789,50135,246674,853,4321,646772,
8/18/2021,0,0,0,0,215198,70634,0,,808267,2259,227327,0,1031,1038884,
8/19/2021,0,0,0,0,163029,10030,0,,203200,14330,26384,0,10723,254637,
