Date,CHINOOK,JACK,ALLCHINOOK,SCHUM,FCHUM,COHO,PINK,SOCKEYE,CISCO,BROAD,HUMPBACK,SHEEFISH,OTHER,ALLOTHER
6/1/2022,0,0,0,0,0,0,0,0,8965110,3456866,704,0,83568,11002588
6/2/2022,0,0,0,0,0,0,0,0,1417437,1213682,0,932990,16732,3580841
6/3/2022,0,0,0,0,0,0,0,0,1050136,914481,0,717604,13490,2695711
6/4/2022,0,0,0,0,0,0,0,0,881017,9461,0,376403,2687,1269568
6/5/2022,0,0,0,0,0,0,0,0,57797,6190,0,53858,2112,119957
6/6/2022,0,3620,3620,0,0,0,0,0,86613,8669,0,47057,4488,146827
6/7/2022,35970,812,36782,0,0,0,0,0,51838,2334,35693,36461,909,127235
6/8/2022,64869,3297,68166,0,0,0,0,0,112157,9255,64167,68101,3747,257427
6/9/2022,61113,2429,63542,1,0,0,0,0,92638,6056,58327,63337,2952,223310
6/10/2022,25098,4760,29858,0,0,0,0,0,73943,112621,34020,110196,0,330780
6/11/2022,24230,4387,28617,1,0,0,0,0,73503,101189,29076,107640,0,311408
6/12/2022,187627,2629,190256,51219,0,0,0,0,74646,113872,33610,93806,397,316331
6/13/2022,97734,1336,99070,54433,0,0,0,0,38012,60395,42264,58113,508,199292
6/14/2022,150369,0,150369,82588,0,0,0,0,0,25569,16824,49197,0,91590
6/15/2022,237386,0,237386,175602,0,0,0,0,0,33618,24584,64563,0,122765
6/16/2022,152152,836,152988,162505,0,0,0,0,0,45685,8,34275,0,79968
6/17/2022,31027,10276,41303,155828,0,0,0,0,85043,28347,0,17184,4954,135528
6/18/2022,41117,30988,72105,297514,0,0,0,0,33641,50715,0,11551,3892,99799
6/19/2022,12569,61861,74430,135960,0,0,0,0,86172,10962,0,24841,1921,123896
6/20/2022,12445,27199,39644,91207,0,0,0,0,64691,0,0,61487,1711,127889
6/21/2022,38518,32343,70861,292601,0,0,0,0,165246,0,46811,124679,2602,339338
6/22/2022,50923,18079,69002,126238,0,0,0,0,88167,0,26004,80622,15359,210152
6/23/2022,178403,115486,293889,206609,0,0,0,0,64393,0,0,151102,18773,234268
6/24/2022,5519362,30628,5549990,13172488,0,0,0,0,787,0,2741,1868723,0,1872251
6/25/2022,662764,26299,689063,31019828,0,0,0,0,338057,0,0,729430,0,1067487
6/26/2022,1394520,1530732,2925252,14126249,0,0,0,0,305153,0,0,17037,0,322190
