Year,stbreak,group,percent
2008,1,4,72.3719523
2009,1,4,79.37164712
2010,1,4,69.06369064
2011,1,4,87.03250663
2012,1,4,93.67272344
2013,1,4,77.95591182
2014,1,4,80.45902107
2015,1,4,86.7698677
2016,1,4,90.244
2017,1,4,78.1093371
2018,1,4,75.83556534
2019,1,4,80.35939281
2008,2,4,68.73688017
2009,2,4,91.92563657
2010,2,4,85.2201478
2011,2,4,90.96416045
2012,2,4,93.74225994
2013,2,4,81.65128701
2014,2,4,80.19030176
2015,2,4,66.709
2016,2,4,76.21152423
2017,2,4,90.73309267
2018,2,4,73.05035701
2019,2,4,72.98935791
2005,3,4,89.18783757
2006,3,4,90.29008501
2007,3,4,98.17945384
2008,3,4,82.15169895
2009,3,4,85.0589889
2010,3,4,76.94571389
2011,3,4,84.54096139
2012,3,4,89.25288136
2013,3,4,82.54421131
2014,3,4,61.62271695
2015,3,4,68.83599684
2016,3,4,64.79935201
2017,3,4,69.14769148
2018,3,4,56.80992907
2019,3,4,71.61182398
2005,4,4,50.82524757
2006,4,4,83.65509653
2007,4,4,90.89726918
2008,4,4,64.30833661
2009,4,4,80.30215159
2010,4,4,74.72559036
2011,4,4,66.07948027
2012,4,4,59.75975976
2013,4,4,58.38609752
2014,4,4,51.48573294
2015,4,4,79.204
2016,4,4,54.616
2017,4,4,70.73329267
2018,4,4,65.28334717
2019,4,4,87.734
2004,5,4,37.84513806
2005,5,4,31.7862884
2006,5,4,43.46147749
2007,5,4,66.52995899
2008,5,4,33.4
2009,5,4,53.44655345
2010,5,4,26.514
2011,5,4,41.49800473
2012,5,4,31.5534023
2013,5,4,9.7
2014,5,4,14.66514665
2015,5,4,27.46604776
2016,5,4,13.1792083
2017,5,4,21.48067521
2018,5,4,27.73535662
2019,5,4,62.09297186
2004,6,4,11.87932477
2005,6,4,20.04397728
2006,6,4,11.30452181
2007,6,4,55.09643317
2008,6,4,5.305305305
2009,6,4,27.7
2010,6,4,19.748
2011,6,4,7.43
2012,6,4,8.916613152
2013,6,4,9.670296469
2014,6,4,5.694
2015,6,4,11.31707072
2016,6,4,10.88410884
2017,6,4,11.18799692
2018,6,4,12.666
2019,6,4,23.255
2004,7,4,9.784583707
2005,7,4,1.654554023
2006,7,4,12.71805171
2007,7,4,11.76755019
2008,7,4,8.7
2009,7,4,4.904904905
2010,7,4,12.26666408
2011,7,4,0.376871439
2012,7,4,5.439327104
2013,7,4,0.920664116
2014,7,4,2.943508984
2015,7,4,2.820564459
2016,7,4,2.752337576
2017,7,4,1.58771589
2018,7,4,5.546324886
2019,7,4,21.94161725
2004,8,4,8.430593437
2005,8,4,4.861458438
2006,8,4,2.959593952
2007,8,4,5.654382576
2008,8,4,2.098411848
2009,8,4,4.595404595
2010,8,4,2.059252464
2011,8,4,1.773565117
2012,8,4,1.181854844
2013,8,4,1.362323275
2014,8,4,1.94834912
2015,8,4,2.896854721
2016,8,4,1.046077295
2017,8,4,0.521852336
2018,8,4,1.184251798
2019,8,4,6.884607677
2004,9,4,2.951245454
2005,9,4,4.861458438
2006,9,4,0.67020106
2007,9,4,1.930866877
2008,9,4,2.387214536
2009,9,4,2.705410822
2010,9,4,6.441935581
2011,9,4,1.570836311
2012,9,4,2.7
2013,9,4,2.99197008
2014,9,4,5.608943911
2015,9,4,0.591
2016,9,4,0.41800418
2017,9,4,3.003317907
2018,9,4,1.171188155
2019,9,4,0.704
2008,1,7,23.04971732
2009,1,7,19.13125417
2010,1,7,30.17130171
2011,1,7,11.68430715
2012,1,7,4.337842223
2013,1,7,19.33867735
2014,1,7,18.39137373
2015,1,7,12.41912419
2016,1,7,8.413
2017,1,7,17.31247282
2018,1,7,23.2277368
2019,1,7,18.27563449
2008,2,7,29.2820651
2009,2,7,1.114127924
2010,2,7,12.45787542
2011,2,7,7.710245048
2012,2,7,3.95871206
2013,2,7,15.55353689
2014,2,7,12.18379344
2015,2,7,28.446
2016,2,7,21.08042161
2017,2,7,5.063949361
2018,2,7,23.31922869
2019,2,7,19.93585545
2005,3,7,0
2006,3,7,0
2007,3,7,0
2008,3,7,13.02823988
2009,3,7,5.622387297
2010,3,7,19.68412966
2011,3,7,8.952421039
2012,3,7,8.998595551
2013,3,7,11.24222732
2014,3,7,26.44897365
2015,3,7,26.85028424
2016,3,7,23.53676463
2017,3,7,22.04822048
2018,3,7,32.32714093
2019,3,7,19.94429597
2005,4,7,0
2006,4,7,0
2007,4,7,0
2008,4,7,18.29577648
2009,4,7,4.225537896
2010,4,7,8.147150122
2011,4,7,14.83510559
2012,4,7,32.73273273
2013,4,7,13.93301012
2014,4,7,12.57555304
2015,4,7,19.072
2016,4,7,26.784
2017,4,7,18.38781612
2018,4,7,17.20282797
2019,4,7,7.628
2004,5,7,0
2005,5,7,0
2006,5,7,0
2007,5,7,0
2008,5,7,12.5
2009,5,7,10.58941059
2010,5,7,21.496
2011,5,7,25.00608817
2012,5,7,19.69937126
2013,5,7,30.8
2014,5,7,8.189081891
2015,5,7,19.04080976
2016,5,7,9.313760814
2017,5,7,13.68947125
2018,5,7,16.39547384
2019,5,7,11.09650705
2004,6,7,0
2005,6,7,0
2006,6,7,0
2007,6,7,0
2008,6,7,9.409409409
2009,6,7,13
2010,6,7,7.782
2011,6,7,1.3
2012,6,7,6.77837571
2013,6,7,8.873393848
2014,6,7,1.351
2015,6,7,8.994592238
2016,6,7,3.21803218
2017,6,7,5.23763997
2018,6,7,12.339
2019,6,7,8.603
2004,7,7,0
2005,7,7,0
2006,7,7,0
2007,7,7,0
2008,7,7,1.7
2009,7,7,4.104104104
2010,7,7,3.587845306
2011,7,7,2.030015212
2012,7,7,3.670742579
2013,7,7,2.615116994
2014,7,7,2.298144929
2015,7,7,2.670649766
2016,7,7,4.2476085
2017,7,7,0.886743258
2018,7,7,4.894555114
2019,7,7,8.130615083
2004,8,7,0
2005,8,7,0
2006,8,7,0
2007,8,7,0
2008,8,7,2.044278524
2009,8,7,7.692307692
2010,8,7,4.619576113
2011,8,7,1.089501287
2012,8,7,0.788358548
2013,8,7,0.975595903
2014,8,7,2.080044202
2015,8,7,0.934380693
2016,8,7,3.559144986
2017,8,7,0.615151676
2018,8,7,0.889824725
2019,8,7,2.68613946
2004,9,7,0
2005,9,7,0
2006,9,7,0
2007,9,7,0
2008,9,7,0.95720405
2009,9,7,3.106212425
2010,9,7,1.08698913
2011,9,7,2.460831604
2012,9,7,6.2
2013,9,7,0.2799972
2014,9,7,3.10496895
2015,9,7,3.645
2016,9,7,0.31500315
2017,9,7,0.393966577
2018,9,7,0.841865267
2019,9,7,0.213
2008,1,8,4.213103621
2009,1,8,0.399226322
2010,1,8,0.29300293
2011,1,8,0.195768306
2012,1,8,1.622911832
2013,1,8,2.004008016
2014,1,8,0.52150288
2015,1,8,0.32300323
2016,1,8,0.847
2017,1,8,4.024675988
2018,1,8,0.144945444
2019,1,8,0.88898222
2008,2,8,1.313145105
2009,2,8,6.445385965
2010,2,8,1.74798252
2011,2,8,0.40504168
2012,2,8,1.538260262
2013,2,8,1.912100044
2014,2,8,6.662010744
2015,2,8,1.388
2016,2,8,1.796035921
2017,2,8,3.69896301
2018,2,8,2.681729597
2019,2,8,6.207624966
2005,3,8,9.451890378
2006,3,8,8.27595319
2007,3,8,1.230369111
2008,3,8,3.462083621
2009,3,8,8.311357462
2010,3,8,1.867714814
2011,3,8,4.578671058
2012,3,8,0.914300621
2013,3,8,4.702507481
