group,stbreak,min,max
10,1,0.100132252,0.67194084
10,2,0.10010832,1.756
10,3,0.100030009,1.490104116
10,4,0.14399856,2.950885266
10,5,0.2997003,7.187587038
10,6,0.6,17.98075004
10,7,12.37470611,33.53328226
10,8,19.03410161,44.12323697
10,9,39.8166185,70.25729743
11,1,0.100132252,0.501002004
11,2,0.0899991,1.382
11,3,0.159010307,2.55597444
11,4,0.17499825,24.4673402
11,5,7.192157647,47.92947929
11,6,12.16969906,53.27
11,7,20.54855931,49.51358632
11,8,19.70282736,35.13365652
11,9,10.09419478,33.43002901
19,1,0.100200401,0.358064967
19,2,0.107439671,0.399890135
19,3,0.20699793,1.19201192
19,4,0.241,14.15424627
19,5,5.431629489,25.24376466
19,6,16.7329566,40.365
19,7,26.60584567,40.44224615
19,8,17.46523957,46.59124724
19,9,12.16989776,36.74344702
4,1,69.06369064,93.67272344
4,2,66.709,93.74225994
4,3,56.80992907,98.17945384
4,4,50.82524757,90.89726918
4,5,9.7,66.52995899
4,6,5.305305305,55.09643317
4,7,0.376871439,21.94161725
4,8,0.521852336,8.430593437
4,9,0.41800418,6.441935581
7,1,4.337842223,30.17130171
7,2,1.114127924,29.2820651
7,3,0,32.32714093
7,4,0,32.73273273
7,5,0,30.8
7,6,0,13
7,7,0,8.130615083
7,8,0,7.692307692
7,9,0,6.2
8,1,0.144945444,4.213103621
8,2,0.40504168,6.662010744
8,3,0.914300621,10.82886919
8,4,0.257,16.40280121
8,5,1.937838603,35.15613867
8,6,0.150060024,13.78563815
8,7,0.166385729,4.292350722
8,8,0.084298207,2.678345116
8,9,0.05800058,4.256072064
