"Year","Strata","SortID","grpID","GroupName","mean","LCI.m","UCI.m","p","LCI.p","UCI.p"
2011,1,1,4,"Lower Summer",44218.8878,38540.9746629838,50107.5778203469,0.8174,0.763888888888889,0.868055555555556
2011,1,2,7,"UpperKoy+Main",9526.4817,6620.65749255948,12644.6996736235,0.1761,0.125,0.229166666666667
2011,1,3,8,"Tanana Summer",70.3261,0,395.82327602892,0.0013,0,0.00694444444444444
2011,1,4,10,"Tanana Fall",59.5067,0,389.125651116427,0.0011,0,0.00694444444444444
2011,1,5,11,"Border US",102.7843,0,409.055571397924,0.0019,0,0.00694444444444444
2011,1,6,12,"Border CA",75.7358,0,396.321088898651,0.0014,0,0.00694444444444444
2011,1,7,13,"Porcupine CA",21.6388,0,342.795709639071,0.0004,0,0.00694444444444444
2011,1,8,14,"Mainstem CA",54.097,0,385.752256536252,0.001,0,0.00694444444444444
2011,1,9,1,"Upper Canada",43.2776,0,381.554335734025,0.0008,0,0.00694444444444444
2011,1,10,3,"     White",27.0485,0,360.815406308394,0.0005,0,0.00694444444444444
2011,1,11,6,"     Teslin",16.2291,0,0,0.0003,0,0
2011,1,12,2,"Total Summer",53815.6956,47725.7511722644,59901.0574260068,0.9948,0.986111111111111,1
2011,1,13,5,"Total Middle",9596.8078,6673.72964331399,12763.1335435297,0.1774,0.125,0.229166666666667
2011,1,14,9,"Total Fall",281.3044,0,817.877603791816,0.0052,0,0.0138888888888889
2011,1,15,15,"Fall US",162.291,0,729.204823694975,0.003,0,0.0138888888888889
2011,1,16,16,"Mainstem + Upper CA",97.3746,0,407.282475544878,0.0018,0,0.00694444444444444
2011,1,17,17,"Border US + Canada",221.7977,0,778.717145816619,0.0041,0,0.0138888888888889
2011,1,18,18,"Total USA",53977.9866,47863.8922992274,60040.9504575634,0.9978,0.993055555555555,1
2011,1,19,19,"Total Canada",119.0134,0,419.881918279618,0.0022,0,0.00694444444444444
2011,1,20,20,"Toklat",,,,,,
2011,1,21,21,"Upper Tanana",,,,,,
2011,1,22,22,"Border US+Border CA",,,,,,
2011,1,23,23,"Lower Summer  + Koy-Main",53745.3695,47633.9554927867,59839.7427318732,0.9935,0.979166666666667,1
2011,2,1,4,"Lower Summer",222670.580483903,193657.313040361,252631.181354806,0.876524695060988,0.826388888888889,0.923611111111111
2011,2,2,7,"UpperKoy+Main",27760.8012397521,16833.5098758885,40065.916946909,0.109278144371126,0.0694444444444444,0.152777777777778
2011,2,3,8,"Tanana Summer",482.575684863027,0,1921.73589957172,0.0018996200759848,0,0.00694444444444444
