"Year","sf","Run","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
1999,1,237500,0,0.976227347522783,0,0.909791424123144,0.0664359233996389,0,,,0.0237726524772167,0.0000267062783863211,,,,,,,0.0237459461988304,,,0.0000267062783863211,0,0.0237459461988304,
2000,1,124369,0.00428336452834346,0.805133786434575,0.00428336452834346,0.738529967333071,0.0666038191015034,0,,,0.194866213565425,0.0145846506135676,,,,,,,0.180281562951858,,,0.0145846506135676,0,0.175998198423514,
2001,1,222553,0.0129818582539889,0.965385838429498,0.00998967122438251,0.835098336126675,0.130287502302822,0.00299218702960643,,,0.0346141615705023,0.0164546467583003,,,,,,,0.018159514812202,,,0.0164546467583003,0,0.0051776565582131,
2002,1,442993,0.0103411211891438,0.893739291436272,0.000301663708149372,0.866923995642325,0.0268152957939474,0.0100394574809945,,,0.106260708563728,0.0860433767889387,,,,,,,0.020217331774789,,,0.0860433767889387,0,0.00987621058564512,
2005,1,1284069,0.0223009514468647,0.828721641106577,0.0127283317279316,,,0.00957261971893308,,0.0970289454989158,0.171278358893423,0.00354481030431734,0.103330210858479,0.0421023862837623,0.0377244070849044,0.00437797919885793,0.106875021162796,0.0266789306457226,0.167733548589106,0.935596662269373,0.064403337730627,,,,0.731692695607661
2006,1,1021487,0.00550143612773518,0.959820932756707,0.00504258017206706,,,0.00045885595566812,,0.0745776907403852,0.0401790672432931,0.0112005639620175,0.0102414872356335,0.0132355799179069,0.0038223391965621,0.00941324072134479,0.021442051197651,0.01491467684908,0.0289785032812756,0.981262983954358,0.0187370160456421,,,,0.885243242016322
2007,1,809030,0.00230808152003961,0.981930299644137,0.00183266109209918,,,0.000475420427940429,,0.0256638676583755,0.0180697003558628,0.00163148953338338,0.00639419666647556,0.00773593263596423,0.000510486508126894,0.00722544612783734,0.00802568619985894,0.00953352764787695,0.0164382108224794,0.989955985843996,0.0100440141560038,,,,0.956266431985762
2008,1,1849553,0.000289234013495497,0.979038482778,0.000289234013495497,0.751416520170376,0.227621962607624,0,0.184217788277301,0.0434041743303228,0.0209615172220004,0.00514988671900179,0.0111009802871315,0.00442141620237165,0.00105764373801516,0.00336377246435649,0.0162508670061333,0.00365300647785199,0.0158116305029986,0.995289349784133,0.00471065021586715,,,,0.935634308447677
2009,1,1477186,0.000585570316655963,0.988718172246706,0.000299272585699943,0.865449539052544,0.123268633194163,0.00028629773095602,0.0511464013999815,0.072122231794181,0.011281827753294,0.00214370752651609,0.003010168756791,0.00554238115333092,0.000191533767582417,0.00535084738574851,0.00515387628330709,0.00593641770240447,0.00913812022677789,0.993872048530013,0.00612795146998689,,,,0.916595940452525
2010,1,1423372,0.000784840793809021,0.987490728593926,0.000510729378561306,0.779740294990695,0.20775043360323,0.000274111415247715,0.185686950299089,0.0220634833041418,0.0125092714060742,0.00181552255481769,0.00730150497282453,0.00260740308462296,0.000842410216887433,0.00176499286773553,0.00911702752764222,0.00254983366154455,0.0106937488512565,0.996607756121568,0.00339224387843198,,,,0.965427245289784
2011,1,2051501,0.00189421085725351,0.979111677974026,0.00154528209283654,0.837105399618646,0.142006278355381,0.000348928764416968,0.114547019139049,0.0274592592163317,0.0208883220259737,0.0065656435407256,0.00683756836629365,0.00559089926170094,0.00104630105549823,0.00454459820620272,0.0134032119070193,0.00643880906345622,0.0143226784852481,0.992514889881046,0.00748511011895445,,,,0.951652418757695
2012,1,2136476,0.00137919574973864,0.987870121575946,0.00137919574973864,0.879559143991323,0.108310977584623,0,0.0941541955936669,0.0141567819909556,0.0121298784240541,0.00260189343646966,0.00467819289593654,0.00347059634190927,0.00034667539614939,0.00312392094575988,0.00728008633240621,0.00450311669549852,0.00952798498758446,0.995150207908352,0.00484979209164791,,,,0.97371333958499
2013,1,2849683,0.000276841700957997,0.981148786718207,0.000221473360766398,0.794517834860667,0.18663095185754,0.0000553683401915995,0.145811402834147,0.0408195490233925,0.0188512132817934,0.00321873847898296,0.00929117003315864,0.00606446306869381,0.0040612957802582,0.0020031672884356,0.0125099085121416,0.0022800089893936,0.0156324748028104,0.993658695230348,0.0063413047696518,,,,0.940329237694814
2014,1,2020309,0.00272719052366195,0.976569705523328,0.00243771388680173,0.73551607488838,0.241053630634948,0.000289476636860221,0.183969857086271,0.0570837735486766,0.0234302944766722,0.00296050726863326,0.0109082848703513,0.00683431181402574,0.000595578402497765,0.00623873341152798,0.0138687921389845,0.00896592393518993,0.020469787208039,0.990438497662312,0.00956150233768769,,,,0.919485931974651
2015,1,1591410,0.000784992143784616,0.976067491703029,0.000610716356457587,0.737493420685199,0.23857407101783,0.000174275787327029,0.229155454127945,0.00941861688988485,0.0239325082969709,0.0109984398396897,0.0102186090145223,0.00193046729897427,0.000281587655098373,0.0016488796438759,0.021217048854212,0.00243387178766051,0.0129340684572812,0.997284540557241,0.00271545944275889,,,,0.966648874813144
